,itemIds,top-10 scores
543554,"[1255, 993, 1102, 3106, 432, 3326, 1532, 3860, 942, 4478]","[0.06447284, 0.06161869, 0.059340443, 0.05514462, 0.054313216, 0.05138384, 0.05043986, 0.0488919, 0.04879359, 0.048652306]"
651761,"[3239, 4454, 2981, 3333, 3355, 252, 2519, 3320, 607, 1599]","[0.056972403, 0.05100388, 0.049959037, 0.049727727, 0.049350806, 0.0483651, 0.047647815, 0.043034434, 0.04295293, 0.042644013]"
2410863,"[273, 1470, 819, 1708, 4260, 3936, 4380, 348, 3451, 1744]","[0.05452695, 0.053644825, 0.05351518, 0.046697922, 0.046546288, 0.046400886, 0.045890663, 0.04450887, 0.041180044, 0.039950844]"
1967569,"[962, 600, 2045, 3282, 3153, 516, 3269, 232, 4141, 3086]","[0.047526054, 0.046869297, 0.0467144, 0.046411835, 0.04457278, 0.043174922, 0.041214813, 0.041191183, 0.040404126, 0.04025117]"
1920632,"[2660, 118, 2395, 1955, 270, 4078, 2372, 2132, 4496, 1467]","[0.08116282, 0.06991309, 0.055757497, 0.053883802, 0.052638087, 0.048065823, 0.047168486, 0.043542657, 0.04264825, 0.042396713]"
294809,"[76, 1627, 2521, 645, 3347, 3571, 1656, 4442, 4098, 2942]","[0.05061489, 0.04932241, 0.047999114, 0.043857396, 0.0418119, 0.041551862, 0.04060202, 0.04038925, 0.039918996, 0.039821412]"
1584920,"[1856, 692, 761, 175, 2551, 3312, 2376, 3612, 3810, 3782]","[0.053402353, 0.0486295, 0.047651958, 0.047398314, 0.046972465, 0.046658594, 0.045205377, 0.044182807, 0.043576345, 0.04275714]"
2292147,"[2732, 4345, 3701, 3310, 3611, 1866, 2362, 505, 3437, 1482]","[0.053629413, 0.049146824, 0.04760604, 0.046665344, 0.04623524, 0.045828175, 0.045139708, 0.045087665, 0.042752996, 0.042151]"
1501337,"[1050, 3686, 312, 133, 677, 4049, 1955, 2732, 3710, 2209]","[0.06120537, 0.051116377, 0.05010743, 0.048972446, 0.04532426, 0.045240235, 0.041469883, 0.041397672, 0.041231237, 0.040974043]"
2523912,"[1428, 2617, 2874, 3151, 191, 2913, 30, 3326, 3938, 862]","[0.06551486, 0.05912492, 0.058578644, 0.05834934, 0.058082424, 0.05506582, 0.054530382, 0.05446738, 0.05370002, 0.05202747]"
2232644,"[468, 1865, 3938, 3326, 442, 248, 3161, 4478, 3860, 4429]","[0.0461395, 0.04403256, 0.041560706, 0.0402702, 0.03997319, 0.03990079, 0.039787926, 0.039161902, 0.03907201, 0.0384221]"
1133943,"[77, 831, 3423, 367, 3282, 3220, 2443, 4402, 3128, 2519]","[0.046359383, 0.043432433, 0.039484065, 0.037758257, 0.03732007, 0.03688859, 0.036862247, 0.03641381, 0.03556171, 0.03491544]"
2101948,"[2391, 1650, 4266, 670, 2360, 985, 4289, 2114, 1027, 3617]","[0.0452722, 0.04463228, 0.04189968, 0.040193222, 0.039941877, 0.03819167, 0.0363321, 0.03557294, 0.035011332, 0.034896795]"
2520161,"[3515, 1795, 1066, 3835, 3321, 1632, 1250, 1479, 4155, 872]","[0.046064507, 0.041822895, 0.03849867, 0.038352627, 0.038204208, 0.03794517, 0.037597295, 0.03732787, 0.037183475, 0.035579816]"
944781,"[3962, 2989, 2391, 2660, 1482, 2139, 1476, 3782, 4043, 16]","[0.06756368, 0.0616717, 0.05070666, 0.050565008, 0.048507266, 0.047720946, 0.04719268, 0.04651268, 0.0453763, 0.045226432]"
2488616,"[4454, 996, 3320, 2762, 1865, 3689, 4393, 4127, 2735, 1788]","[0.056343302, 0.053552467, 0.052533623, 0.05155681, 0.048586942, 0.044549894, 0.04385812, 0.04301875, 0.04185529, 0.041147232]"
2354125,"[1050, 1074, 3434, 3017, 2743, 2284, 18, 1066, 2057, 1428]","[0.050506044, 0.048746616, 0.04814587, 0.046559263, 0.0462449, 0.04577507, 0.045344256, 0.0443431, 0.043749813, 0.042501446]"
1347916,"[3190, 1307, 1585, 711, 4369, 3684, 283, 693, 1336, 45]","[0.048328284, 0.04752046, 0.042210765, 0.0409182, 0.040795196, 0.038917247, 0.037625343, 0.036004167, 0.035640996, 0.034331758]"
235551,"[3756, 2139, 4098, 312, 2660, 798, 3267, 2371, 3787, 4056]","[0.04897111, 0.044354357, 0.043984793, 0.043661177, 0.042861316, 0.04128729, 0.041099913, 0.040957272, 0.040541247, 0.038623363]"
1880731,"[2167, 992, 4302, 1509, 148, 3047, 1421, 55, 3835, 2577]","[0.06467661, 0.057937045, 0.056571957, 0.048147753, 0.047258563, 0.046405155, 0.04623215, 0.04473451, 0.043803357, 0.04295467]"
369944,"[1096, 985, 111, 1428, 416, 4031, 3371, 167, 564, 1972]","[0.06481642, 0.053324908, 0.05183644, 0.051352672, 0.0454362, 0.045356236, 0.045305237, 0.04422016, 0.04384656, 0.042572092]"
1680398,"[312, 681, 1590, 2177, 2577, 4043, 3047, 2899, 3563, 189]","[0.053912736, 0.04756573, 0.047382474, 0.046852194, 0.044517163, 0.042867415, 0.04256973, 0.04247819, 0.04217796, 0.041842174]"
1217441,"[2077, 1428, 3408, 3590, 270, 3763, 3151, 681, 334, 1467]","[0.065502115, 0.063638784, 0.061215702, 0.054946102, 0.051821765, 0.05111293, 0.048712354, 0.04820065, 0.047712337, 0.046732333]"
1105127,"[2612, 4012, 1703, 424, 3716, 4341, 4155, 4249, 4393, 2016]","[0.049683806, 0.048932135, 0.045666963, 0.041605055, 0.040815342, 0.04035457, 0.040159248, 0.039801054, 0.038383234, 0.036810666]"
2204299,"[3946, 518, 171, 2102, 1582, 2348, 357, 240, 2316, 477]","[0.05930179, 0.054768834, 0.04742412, 0.04686932, 0.044667806, 0.044101506, 0.043034237, 0.04274442, 0.040156025, 0.04004904]"
2505152,"[2680, 367, 3232, 424, 4355, 4260, 4109, 331, 3703, 1264]","[0.049008865, 0.04897914, 0.047965206, 0.0466887, 0.044539254, 0.043067966, 0.041589953, 0.040859506, 0.04082602, 0.04049366]"
382773,"[2660, 2188, 425, 3670, 2316, 1799, 1314, 942, 607, 668]","[0.062316284, 0.062003933, 0.05263724, 0.050566044, 0.047817606, 0.047744498, 0.047226515, 0.046476927, 0.044927627, 0.04475521]"
1502648,"[3355, 1709, 3611, 1673, 2475, 2139, 3013, 3369, 4049, 1976]","[0.06843119, 0.059876516, 0.044561934, 0.042756073, 0.042678162, 0.042471677, 0.042454623, 0.04233624, 0.04161945, 0.041172035]"
1489463,"[442, 1682, 468, 426, 299, 1102, 1851, 242, 3610, 2800]","[0.050901916, 0.049038235, 0.04713324, 0.04544496, 0.044923827, 0.0446873, 0.042354323, 0.04011401, 0.039366443, 0.039032463]"
660871,"[1428, 550, 1673, 330, 4031, 1719, 1012, 4033, 256, 3159]","[0.04707705, 0.045799654, 0.043884702, 0.042590708, 0.04220598, 0.041105166, 0.04039293, 0.040358346, 0.039174218, 0.038655467]"
938764,"[1708, 3833, 1289, 720, 4267, 1476, 1637, 3466, 2528, 2668]","[0.05318045, 0.045208015, 0.044437125, 0.043833256, 0.04036303, 0.03836164, 0.03751683, 0.037000358, 0.036720175, 0.035890236]"
897762,"[97, 2152, 2139, 2660, 378, 705, 1703, 1975, 1799, 2371]","[0.050518036, 0.046425153, 0.045316014, 0.04296546, 0.04168122, 0.04139929, 0.03973986, 0.03942812, 0.03830143, 0.03789632]"
2289015,"[1441, 723, 3608, 3276, 17, 3017, 3310, 2493, 1798, 2651]","[0.051844273, 0.049832642, 0.045050874, 0.044520482, 0.04424049, 0.04312217, 0.04279128, 0.041569307, 0.04043232, 0.039917156]"
1237736,"[4078, 2016, 517, 2660, 1255, 4072, 3312, 908, 2149, 4420]","[0.054860536, 0.052242525, 0.050087404, 0.046844896, 0.044701476, 0.044002783, 0.043049835, 0.041858826, 0.040744446, 0.040368885]"
1585067,"[819, 2302, 2256, 1481, 477, 4225, 3161, 1741, 1844, 1262]","[0.046626016, 0.04475558, 0.04446116, 0.043647263, 0.04250134, 0.042363882, 0.037972502, 0.036588773, 0.036493424, 0.035916887]"
2075855,"[2518, 1810, 3701, 443, 457, 1408, 752, 693, 4266, 1266]","[0.05349888, 0.049036797, 0.04252712, 0.04210016, 0.041820418, 0.041637495, 0.040990148, 0.038797043, 0.03742276, 0.035515774]"
1394695,"[1307, 3290, 631, 1865, 1905, 4179, 2779, 2851, 290, 1744]","[0.0547439, 0.05348288, 0.049184393, 0.048263445, 0.046311684, 0.046304848, 0.041286293, 0.040227436, 0.039406773, 0.039267153]"
2459310,"[1293, 908, 3903, 832, 1664, 197, 1661, 2861, 2660, 4127]","[0.050364323, 0.04892733, 0.048453804, 0.046641167, 0.04592869, 0.045483705, 0.0449099, 0.043726157, 0.04332515, 0.041609496]"
2012897,"[3368, 1595, 2913, 1692, 2136, 312, 4454, 3610, 2135, 1467]","[0.054399855, 0.046221435, 0.044310912, 0.042534526, 0.041635457, 0.040674437, 0.039613638, 0.039571468, 0.03949459, 0.039442644]"
1539697,"[3975, 1262, 2440, 2876, 3638, 2828, 851, 1703, 2612, 1359]","[0.05262791, 0.05100967, 0.0506277, 0.05005923, 0.04564522, 0.04506151, 0.043983057, 0.041484073, 0.041238137, 0.03869772]"
1631874,"[26, 2749, 1412, 4267, 2389, 1798, 3369, 4078, 3551, 1140]","[0.062142797, 0.05667753, 0.054549307, 0.052786004, 0.052674815, 0.051772784, 0.04687404, 0.04659645, 0.044506274, 0.044193413]"
2272321,"[3314, 167, 2047, 2331, 3513, 2337, 2499, 1682, 3551, 3212]","[0.052817985, 0.05281641, 0.041163627, 0.04008178, 0.035654627, 0.034562353, 0.033347655, 0.032970145, 0.032799527, 0.032796666]"
2484944,"[1160, 1543, 4256, 3626, 2617, 26, 3782, 700, 528, 4040]","[0.049042255, 0.04632976, 0.045309182, 0.04380799, 0.04337725, 0.039714083, 0.039371114, 0.03905653, 0.038453754, 0.038112566]"
660774,"[4227, 1359, 2900, 3138, 1799, 474, 4049, 3078, 2372, 78]","[0.05134552, 0.04773135, 0.04487521, 0.043369554, 0.043180455, 0.04317521, 0.04311733, 0.042874414, 0.042357937, 0.040988393]"
1179658,"[1821, 4078, 3672, 357, 4260, 1692, 720, 2209, 2016, 2132]","[0.046263933, 0.04626104, 0.04465541, 0.044193093, 0.04403192, 0.043564938, 0.04355992, 0.043430194, 0.041814562, 0.03862508]"
721590,"[2981, 3487, 2712, 4496, 3078, 3106, 846, 4080, 533, 1305]","[0.066673435, 0.048083216, 0.047983497, 0.04679504, 0.04678388, 0.046673775, 0.046414673, 0.046373967, 0.046232123, 0.045134805]"
1280149,"[2862, 2533, 2114, 4247, 2319, 393, 689, 4392, 2149, 1561]","[0.05133029, 0.044478472, 0.044141073, 0.043436233, 0.042082164, 0.04030315, 0.038907062, 0.03790219, 0.036672782, 0.036472324]"
1880826,"[3138, 3684, 3153, 1582, 357, 3210, 443, 3481, 4225, 30]","[0.056370582, 0.054663774, 0.05400629, 0.053499077, 0.048996903, 0.0488265, 0.048566747, 0.04812521, 0.04680968, 0.046393324]"
195742,"[985, 2462, 4387, 571, 30, 2340, 2866, 3276, 2366, 1140]","[0.06371642, 0.055836264, 0.052757, 0.05201485, 0.050057806, 0.04799387, 0.047430202, 0.046559654, 0.04612158, 0.044740103]"
2354732,"[331, 97, 1428, 3782, 2478, 424, 4284, 1625, 730, 175]","[0.04936449, 0.046349432, 0.045007903, 0.044322465, 0.042758252, 0.042340882, 0.042154174, 0.04123618, 0.041108944, 0.040633313]"
2305978,"[1867, 3638, 809, 225, 3777, 3798, 2989, 2173, 348, 2385]","[0.043165628, 0.040748354, 0.03633624, 0.03614443, 0.03520833, 0.034781754, 0.03464199, 0.03395684, 0.03385065, 0.03354894]"
1279924,"[3701, 1160, 528, 3623, 551, 3522, 420, 4072, 3582, 55]","[0.059660472, 0.058023226, 0.052354235, 0.050308883, 0.049250245, 0.04918802, 0.048692595, 0.048050124, 0.04702232, 0.045810886]"
2311867,"[1395, 2346, 4147, 3268, 1923, 474, 3347, 937, 2578, 2945]","[0.048844073, 0.046126023, 0.04398581, 0.04296401, 0.04234791, 0.038890276, 0.038294706, 0.038027264, 0.037815787, 0.037341453]"
2637974,"[143, 2940, 2796, 1148, 26, 378, 3975, 3875, 1741, 501]","[0.06393352, 0.061619505, 0.050753538, 0.04952978, 0.048618257, 0.045809694, 0.045771554, 0.044152953, 0.044119153, 0.043508783]"
2228032,"[2199, 3369, 883, 2389, 1098, 3138, 4141, 1102, 1481, 2348]","[0.045115065, 0.04463593, 0.04186552, 0.038942795, 0.038131185, 0.036355477, 0.034181997, 0.03386879, 0.033681564, 0.033119023]"
318523,"[133, 443, 1810, 1140, 1096, 659, 1682, 599, 3936, 4454]","[0.04977084, 0.04824804, 0.047223676, 0.045425087, 0.043359365, 0.04219728, 0.041666284, 0.041046582, 0.03945033, 0.03907386]"
2439170,"[1627, 1547, 425, 4067, 2408, 1902, 3226, 1293, 26, 4411]","[0.06077304, 0.060528174, 0.053808298, 0.052667312, 0.05191892, 0.04827726, 0.045822453, 0.044679996, 0.043725, 0.043081187]"
1256976,"[1804, 262, 4040, 1096, 4144, 3331, 4454, 2944, 143, 2167]","[0.039943013, 0.03795418, 0.03744427, 0.03475721, 0.034621403, 0.03214822, 0.031942762, 0.031757172, 0.03170345, 0.03167666]"
1537052,"[4080, 2981, 3684, 607, 1467, 1692, 2372, 3826, 4092, 1589]","[0.067236945, 0.05985931, 0.057742495, 0.05635994, 0.05459661, 0.054549318, 0.054452974, 0.051443584, 0.04750646, 0.04578488]"
950712,"[4271, 474, 1027, 2554, 2823, 3505, 4060, 2905, 2290, 1625]","[0.052551605, 0.047285702, 0.04499508, 0.044600286, 0.042734787, 0.042129576, 0.04189577, 0.04168127, 0.041679945, 0.03954396]"
459892,"[2001, 1664, 3285, 1047, 2462, 3253, 3321, 3610, 1148, 2338]","[0.04707759, 0.046609405, 0.042313945, 0.040881198, 0.0379278, 0.037436012, 0.0373831, 0.037084818, 0.036946084, 0.036828075]"
2221639,"[1625, 798, 191, 3593, 4109, 3315, 1266, 3903, 3161, 3106]","[0.06689609, 0.06646496, 0.06576124, 0.05708429, 0.055971943, 0.055708416, 0.054264802, 0.05343499, 0.053094797, 0.052447263]"
1078816,"[4214, 3253, 2699, 1180, 16, 1250, 4007, 1055, 26, 985]","[0.051255837, 0.046093393, 0.04416818, 0.042621143, 0.04239909, 0.040804148, 0.03709792, 0.036844593, 0.035380017, 0.034594636]"
2265768,"[3427, 846, 3936, 953, 872, 652, 1884, 4266, 3638, 166]","[0.06431457, 0.062582575, 0.058705468, 0.05526333, 0.053289134, 0.052155185, 0.04652993, 0.046115477, 0.04503206, 0.044219814]"
2062092,"[1810, 443, 30, 937, 191, 406, 2200, 2731, 3920, 1066]","[0.05402665, 0.044198234, 0.040871516, 0.03691944, 0.036515146, 0.03619405, 0.03603446, 0.035966642, 0.034047414, 0.033349246]"
647575,"[1395, 1542, 3368, 1140, 4123, 2456, 1905, 1744, 1975, 2874]","[0.06396685, 0.0633041, 0.059625626, 0.056207005, 0.055889424, 0.05409193, 0.05368505, 0.052601617, 0.052241404, 0.049575195]"
670496,"[2360, 3161, 2874, 2913, 2577, 1682, 4248, 2617, 3466, 2200]","[0.055692893, 0.0484449, 0.04844136, 0.044399396, 0.044392403, 0.044274807, 0.041677907, 0.04120748, 0.040303264, 0.039824102]"
1792234,"[2698, 986, 4056, 4393, 3938, 3282, 1561, 3015, 4442, 2528]","[0.051251676, 0.050989, 0.049029678, 0.04848735, 0.046143737, 0.045752767, 0.04548397, 0.043908276, 0.043732896, 0.043722026]"
688357,"[988, 1075, 4098, 2757, 3830, 4149, 4168, 2889, 2186, 2662]","[0.04535527, 0.04320209, 0.042224646, 0.04135441, 0.041293077, 0.04105562, 0.040691167, 0.039787497, 0.039250202, 0.03813739]"
1334313,"[2566, 1055, 3035, 908, 668, 213, 4168, 1666, 600, 3523]","[0.046312228, 0.042816807, 0.04261721, 0.039695974, 0.039134253, 0.03714313, 0.037122205, 0.036343988, 0.036142174, 0.03501285]"
1905177,"[693, 1032, 4341, 3532, 3571, 3958, 3192, 4266, 2304, 3285]","[0.06044379, 0.045587737, 0.044980023, 0.044664107, 0.043080974, 0.042994484, 0.042891297, 0.042793464, 0.04279044, 0.042567562]"
1640731,"[971, 433, 2783, 1282, 2751, 1704, 2200, 1270, 2181, 2411]","[0.055688825, 0.04831105, 0.047282215, 0.046420403, 0.04266117, 0.04202197, 0.041919693, 0.041760378, 0.04171857, 0.041493293]"
1736630,"[1060, 1252, 26, 452, 2342, 4145, 833, 645, 1947, 1955]","[0.07065333, 0.06453036, 0.061846193, 0.058821864, 0.055354577, 0.05477898, 0.05366196, 0.05178795, 0.051284064, 0.050622445]"
1377639,"[1656, 3701, 3181, 2114, 1140, 4386, 3758, 2350, 3714, 2848]","[0.039794788, 0.035771217, 0.03557968, 0.034819115, 0.032917492, 0.032730587, 0.03262819, 0.031047214, 0.030599637, 0.0295495]"
1930826,"[986, 4098, 3326, 989, 4227, 1289, 2612, 17, 1176, 1890]","[0.05319193, 0.051605564, 0.047644414, 0.046139576, 0.044318967, 0.043686483, 0.03966195, 0.03950223, 0.039064735, 0.03870105]"
874732,"[1905, 3170, 3925, 1708, 2217, 1364, 818, 1428, 2900, 2852]","[0.059963744, 0.04413151, 0.042980332, 0.04247347, 0.041185655, 0.039387785, 0.038131747, 0.037842605, 0.03744258, 0.037419155]"
2352992,"[3999, 4109, 2771, 4341, 4127, 316, 985, 2578, 3310, 3505]","[0.042578403, 0.04243116, 0.04122619, 0.040984742, 0.04089304, 0.039128695, 0.03900786, 0.038798302, 0.03807932, 0.03764667]"
1787619,"[3515, 4302, 2181, 1865, 554, 213, 344, 2735, 2743, 3962]","[0.043492783, 0.036264587, 0.034917846, 0.032739785, 0.032226257, 0.032077827, 0.031979915, 0.031845197, 0.031638674, 0.030950332]"
2412160,"[4315, 3862, 696, 1790, 4331, 2316, 1798, 1975, 2981, 3077]","[0.05524465, 0.051767085, 0.050651316, 0.048692126, 0.04837138, 0.048330806, 0.047030948, 0.043601897, 0.04282359, 0.040927585]"
1309167,"[459, 4069, 1525, 4161, 3523, 1983, 3487, 3905, 3623, 3220]","[0.064884774, 0.061199054, 0.04541128, 0.04477681, 0.044740804, 0.04430988, 0.042798307, 0.041815784, 0.04010717, 0.039831936]"
1097970,"[17, 2533, 2360, 2554, 3420, 2139, 670, 3165, 3385, 2938]","[0.053860076, 0.052535534, 0.048816927, 0.048286196, 0.044312224, 0.04203208, 0.041392718, 0.03943382, 0.038354978, 0.038264878]"
647216,"[443, 494, 2743, 2251, 1428, 646, 2266, 1744, 191, 3954]","[0.051552586, 0.0491147, 0.044811398, 0.044387937, 0.043441907, 0.0432129, 0.04273646, 0.042637814, 0.04233093, 0.042208232]"
1549941,"[443, 1810, 1525, 55, 2675, 3047, 97, 1700, 3368, 2009]","[0.063034944, 0.057880078, 0.05473666, 0.050283212, 0.046601627, 0.04335847, 0.04310413, 0.042907, 0.04142214, 0.04072038]"
269554,"[2319, 2332, 55, 2698, 3590, 4402, 3385, 931, 1307, 1543]","[0.048751716, 0.045777537, 0.04352392, 0.04276885, 0.042626355, 0.041451376, 0.039409827, 0.038607433, 0.03789722, 0.037341285]"
1853431,"[2186, 2360, 2095, 3282, 758, 1974, 2660, 4402, 97, 3254]","[0.052366406, 0.04396614, 0.0437479, 0.042868137, 0.040534634, 0.03906573, 0.03845088, 0.037060566, 0.035793297, 0.035624836]"
1988492,"[3782, 2668, 3239, 1120, 3333, 886, 483, 3672, 2660, 3282]","[0.062005337, 0.06152772, 0.05954722, 0.058739588, 0.058036342, 0.0535588, 0.047590915, 0.047588844, 0.046335913, 0.046014506]"
373840,"[2953, 1703, 457, 3427, 1743, 3923, 4441, 851, 1971, 2470]","[0.069969006, 0.053082287, 0.04933242, 0.046295192, 0.04582655, 0.045554172, 0.042618625, 0.04253698, 0.041247293, 0.040609688]"
2416086,"[1595, 1521, 1050, 2040, 3942, 1367, 1664, 4135, 3321, 2705]","[0.04745418, 0.046713773, 0.041753933, 0.040159862, 0.0391603, 0.039089736, 0.03875892, 0.038537156, 0.037587862, 0.03656412]"
586257,"[3626, 615, 4454, 2660, 1482, 1094, 1104, 3256, 3168, 2866]","[0.07023913, 0.065589875, 0.06475294, 0.06261412, 0.057973232, 0.057221066, 0.056487963, 0.055849064, 0.055648793, 0.054258052]"
2519310,"[1666, 17, 550, 2847, 4353, 3135, 2186, 3926, 26, 3920]","[0.05444387, 0.05021114, 0.049033124, 0.046606448, 0.045996364, 0.04298436, 0.042595107, 0.042220645, 0.042144984, 0.04121869]"
2453263,"[1102, 187, 442, 232, 30, 4135, 3071, 607, 2178, 4042]","[0.051730383, 0.049797777, 0.046463005, 0.04551118, 0.044842273, 0.04396635, 0.039491102, 0.039400082, 0.038974, 0.03896175]"
2565182,"[83, 1262, 3475, 986, 2865, 2882, 1264, 3782, 2940, 1252]","[0.052108806, 0.047464825, 0.04112636, 0.04098591, 0.04068346, 0.040325653, 0.04007819, 0.039978758, 0.038924094, 0.0382221]"
1668051,"[18, 489, 4049, 3583, 731, 4492, 554, 3491, 1103, 1627]","[0.046840023, 0.04368031, 0.040622205, 0.039828587, 0.03832906, 0.03789976, 0.037087727, 0.036013085, 0.035706718, 0.035011888]"
2261180,"[1066, 30, 3538, 2136, 2809, 474, 4384, 393, 1102, 1435]","[0.065690584, 0.063924156, 0.057266295, 0.053595096, 0.053233936, 0.0500723, 0.049739376, 0.048724562, 0.04471994, 0.044051867]"
2134424,"[3506, 689, 3276, 1867, 1803, 1792, 731, 3165, 1976, 2284]","[0.06817753, 0.061865203, 0.057186443, 0.052909948, 0.050096147, 0.048425395, 0.048092663, 0.04745824, 0.045636497, 0.04489237]"
1788023,"[3526, 749, 2601, 1060, 1890, 2866, 257, 2462, 4355, 1020]","[0.053592816, 0.04551158, 0.043234523, 0.041628074, 0.04003488, 0.039764497, 0.039354976, 0.038121477, 0.037607335, 0.037556853]"
837001,"[474, 2699, 2443, 2659, 931, 2475, 97, 2954, 4227, 2095]","[0.064909905, 0.052911382, 0.052092437, 0.05038991, 0.047911327, 0.04703485, 0.04522859, 0.043942925, 0.043914184, 0.041904803]"
1407936,"[4144, 1744, 3437, 751, 676, 2385, 281, 4266, 550, 283]","[0.057997786, 0.049468223, 0.046445925, 0.04120439, 0.03990575, 0.03777193, 0.03751591, 0.03737635, 0.03650466, 0.036271144]"
107922,"[989, 2047, 1816, 1923, 3282, 443, 3320, 2174, 561, 577]","[0.049703892, 0.048702806, 0.048352547, 0.04044424, 0.03984804, 0.039165862, 0.038257647, 0.037906487, 0.037851606, 0.03734256]"
448916,"[1955, 1543, 1602, 516, 3686, 2938, 672, 789, 2395, 1866]","[0.049366564, 0.042111233, 0.039587352, 0.03763001, 0.035553306, 0.034418564, 0.034387726, 0.034157418, 0.034019012, 0.03385372]"
426352,"[2152, 3496, 659, 2167, 3988, 2329, 2798, 3321, 2705, 1971]","[0.06304337, 0.04756064, 0.04740865, 0.047247835, 0.046850502, 0.045864828, 0.044335056, 0.042306103, 0.041623414, 0.04119158]"
2522401,"[3046, 2525, 1931, 2104, 4284, 693, 331, 357, 1359, 489]","[0.04923315, 0.046888754, 0.04582221, 0.044180933, 0.043859586, 0.043245126, 0.040894236, 0.039572615, 0.038484354, 0.037168175]"
236442,"[30, 818, 482, 3371, 3756, 4069, 3833, 166, 1394, 3523]","[0.06129129, 0.05564183, 0.05467781, 0.05198166, 0.051764123, 0.050018147, 0.049130253, 0.047110375, 0.046671126, 0.046566542]"
1113244,"[2376, 16, 2470, 2900, 3047, 3242, 2862, 2967, 1521, 2617]","[0.05964389, 0.058833316, 0.05695378, 0.054818347, 0.05319651, 0.051426295, 0.050548658, 0.050361294, 0.04995807, 0.04972752]"
1504640,"[2954, 3936, 1754, 1974, 1959, 4488, 3638, 4267, 1470, 659]","[0.055414796, 0.052848157, 0.052313715, 0.047426514, 0.047384873, 0.046265066, 0.04355342, 0.04345742, 0.042346664, 0.04215736]"
2490379,"[1467, 1744, 4427, 994, 4369, 3047, 3942, 676, 3938, 4490]","[0.05626599, 0.046787433, 0.04460927, 0.040638946, 0.04035316, 0.039354872, 0.03741846, 0.03678984, 0.03676817, 0.036314238]"
2533201,"[859, 4284, 2104, 1682, 3905, 252, 3886, 586, 2163, 1905]","[0.05263086, 0.050499536, 0.04936535, 0.04910881, 0.04796718, 0.044941634, 0.04313128, 0.04294313, 0.04150841, 0.040593628]"
371074,"[1359, 4284, 580, 2905, 571, 2660, 3835, 2705, 953, 2200]","[0.05775882, 0.056281917, 0.056237865, 0.048780743, 0.04678372, 0.042654715, 0.04207831, 0.04174804, 0.041406877, 0.04103085]"
2195127,"[4393, 4411, 252, 358, 2852, 4374, 1682, 3617, 4441, 2675]","[0.04424506, 0.044083446, 0.042981543, 0.042214744, 0.042201646, 0.041318167, 0.040886693, 0.04081163, 0.03839115, 0.03817474]"
1943161,"[2314, 3078, 3975, 2346, 270, 452, 4472, 3106, 2938, 3710]","[0.041693967, 0.038823444, 0.038738765, 0.03854837, 0.037379313, 0.03735108, 0.035994682, 0.035894442, 0.03480986, 0.033762936]"
438688,"[1969, 1421, 4149, 2047, 2104, 3887, 2974, 1521, 3285, 1552]","[0.043621875, 0.03992497, 0.03987893, 0.036606442, 0.03607172, 0.035828214, 0.035744548, 0.035327766, 0.03485328, 0.03466587]"
