movieId,title,genres,tag,imdbId,tmdbId,tmdb_title,tmdb_overview,tmdb_release_date,tmdb_vote_average
11,"American President, The (1995)",Comedy|Drama|Romance,politics|president,112346,9087.0,The American President,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",1995-11-17,6.579
12,Dracula: Dead and Loving It (1995),Comedy|Horror,,112896,12110.0,Dracula: Dead and Loving It,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.",1995-12-22,6.03
13,Balto (1995),Adventure|Animation|Children,,112453,21032.0,Balto,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",1995-12-22,7.291
14,Nixon (1995),Drama,politics|president,113987,10858.0,Nixon,A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.,1995-12-22,6.924
15,Cutthroat Island (1995),Action|Adventure|Romance,,112760,1408.0,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",1995-12-22,5.7
16,Casino (1995),Crime|Drama,Mafia,112641,524.0,Casino,"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",1995-11-22,8.004
17,Sense and Sensibility (1995),Drama|Romance,Jane Austen,114388,4584.0,Sense and Sensibility,"The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.",1995-12-13,7.443
18,Four Rooms (1995),Comedy,,113101,5.0,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,1995-12-09,5.8
19,Ace Ventura: When Nature Calls (1995),Comedy,,112281,9273.0,Ace Ventura: When Nature Calls,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",1995-11-10,6.3
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,,113845,11517.0,Money Train,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.",1995-11-21,5.84
21,Get Shorty (1995),Comedy|Crime|Thriller,Hollywood,113161,8012.0,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",1995-10-20,6.463
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,serial killer,112722,1710.0,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,1995-10-27,6.501
23,Assassins (1995),Action|Crime|Thriller,,112401,9691.0,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",1995-10-06,6.48
24,Powder (1995),Drama|Sci-Fi,,114168,12665.0,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",1995-10-27,6.913
25,Leaving Las Vegas (1995),Drama|Romance,alcoholism,113627,451.0,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",1995-10-27,7.257
26,Othello (1995),Drama,Shakespeare,114057,16420.0,Othello,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,1995-12-15,6.52
27,Now and Then (1995),Children|Drama,,114011,9263.0,Now and Then,"Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends — Teeny, Chrissy, Samantha and Roberta — recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",1995-10-20,6.891
28,Persuasion (1995),Drama|Romance,In Netflix queue|Jane Austen,114117,17015.0,Persuasion,"Anne Elliot, the daughter of a financially troubled aristocratic family, is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful, and perhaps still in love with Anne.",1995-05-01,7.064
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,kidnapping,112682,902.0,The City of Lost Children,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",1995-05-17,7.279
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,,115012,37557.0,Shanghai Triad,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.",1995-09-14,6.77
31,Dangerous Minds (1995),Drama,high school|teacher,112792,9909.0,Dangerous Minds,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",1995-08-11,6.956
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,time travel|time travel|Brad Pitt|Bruce Willis|mindfuck|Post apocalyptic|post-apocalyptic|remake|time travel|twist ending,114746,63.0,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",1995-12-29,7.599
34,Babe (1995),Children|Drama,Animal movie|pigs|villain nonexistent or not needed for good story,112431,9598.0,Babe,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mum, Babe realises that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs, Babe learns that a pig can be anything that he wants to be.",1995-07-18,6.191
36,Dead Man Walking (1995),Crime|Drama,death penalty|Nun,112818,687.0,Dead Man Walking,A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.,1995-12-29,7.3
38,It Takes Two (1995),Children|Comedy,twins,113442,33689.0,It Takes Two,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",1995-11-17,6.466
39,Clueless (1995),Comedy|Romance,chick flick|funny|Paul Rudd|quotable|seen more than once|Emma|Jane Austen,112697,9603.0,Clueless,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,7.273
40,"Cry, the Beloved Country (1995)",Drama,In Netflix queue|South Africa,112749,34615.0,"Cry, the Beloved Country",A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,1995-12-15,6.7
41,Richard III (1995),Drama|War,Shakespeare,114279,31174.0,Richard III,"A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.",1995-12-29,6.719
42,Dead Presidents (1995),Action|Crime|Drama,,112819,11443.0,Dead Presidents,On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!,1995-10-06,6.663
43,Restoration (1995),Drama,England,114272,35196.0,Restoration,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",1995-12-29,6.118
44,Mortal Kombat (1995),Action|Adventure|Fantasy,,113855,9312.0,Mortal Kombat,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.",1995-08-18,5.84
45,To Die For (1995),Comedy|Drama|Thriller,Journalism,114681,577.0,To Die For,"Suzanne Stone wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",1995-09-22,6.575
46,How to Make an American Quilt (1995),Drama|Romance,wedding,113347,11861.0,How to Make an American Quilt,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.",1995-10-06,6.373
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,mystery|twist ending|serial killer,114369,807.0,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,8.4
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,,114148,10530.0,Pocahontas,"Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.",1995-06-14,6.926
49,When Night Is Falling (1995),Drama|Romance,,114916,8391.0,When Night Is Falling,"A prudish woman working on tenure as a literacy professor at a large urban university finds herself attracted to a free-spirited, liberal woman who works at a local carnival.",1995-02-01,6.175
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,mindfuck|suspense|thriller|tricky|twist ending|heist,114814,629.0,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,8.195
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,adoption|prostitution,113819,11448.0,Mighty Aphrodite,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.",1995-09-13,6.727
53,Lamerica (1994),Adventure|Drama,,110299,49133.0,Lamerica,"Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.",1994-09-09,7.2
54,"Big Green, The (1995)",Children|Comedy,,112499,26441.0,The Big Green,"In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.",1995-09-29,5.497
55,Georgia (1995),Drama,,113158,97406.0,Georgia,"Sadie looks up to her older sister Georgia, a successful folk singer who's happily married with children, but can't break out of the bar-band circuit and hit the big time she desperately covets. It's in part due to her attraction to drugs and booze, and also to her own unwise choice in men. Finally, though, Sadie's Achilles heel is a rough, unlovely voice very different than her sister's crowd-pleasing singing.",1995-05-19,5.806
57,Home for the Holidays (1995),Drama,,113321,9089.0,Home for the Holidays,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.",1995-11-02,6.311
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,writing,110877,11010.0,The Postman,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,1994-04-07,7.941
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,,113419,11359.0,The Indian in the Cupboard,A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.,1995-07-14,6.404
61,Eye for an Eye (1996),Drama|Thriller,,116260,17182.0,Eye for an Eye,"It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Doob, the monster who raped and murdered her 17-year-old daughter.",1996-01-12,6.1
62,Mr. Holland's Opus (1995),Drama,music,113862,2054.0,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",1995-12-29,6.972
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,,116126,10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?",1996-01-12,6.968
64,Two if by Sea (1996),Comedy|Romance,,118002,19760.0,Two If by Sea,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.",1996-01-12,4.8
65,Bio-Dome (1996),Comedy,,115683,9536.0,Bio-Dome,"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves.",1996-01-12,4.538
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,,116839,11525.0,Lawnmower Man 2: Beyond Cyberspace,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.",1996-01-12,2.909
68,French Twist (Gazon maudit) (1995),Comedy|Romance,,113149,4482.0,French Twist,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",1995-01-18,6.05
69,Friday (1995),Comedy,,113118,10634.0,Friday,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.",1995-04-26,7.148
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,,116367,755.0,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",1996-01-19,7.012
71,Fair Game (1995),Action,,113010,11859.0,Fair Game,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her",1995-11-03,4.985
72,Kicking and Screaming (1995),Comedy|Drama,,113537,28387.0,Kicking and Screaming,"After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.",1995-10-06,6.188
73,"Misérables, Les (1995)",Drama|War,,113828,48750.0,Les Miserables,"In France during World War II, a poor and illiterate man, Henri Fortin (Jean-Paul Belmondo), is introduced to Victor Hugo's classic novel Les Misérables and begins to see parallels between the book and his own life.",1995-03-22,6.905
74,Bed of Roses (1996),Drama|Romance,,115644,20927.0,Bed of Roses,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer. But when his fairy-tale fantasies clash with her workaholic ways, they soon find out that sometimes, it's harder than it seems for love to conquer all.",1996-01-26,5.816
75,Big Bully (1996),Comedy|Drama,,115676,36929.0,Big Bully,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",1996-01-26,4.58
76,Screamers (1995),Action|Sci-Fi|Thriller,,114367,9102.0,Screamers,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",1995-09-08,6.191
77,Nico Icon (1995),Documentary,,113973,124626.0,Nico Icon,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.",1995-02-18,6.9
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,,112744,27526.0,The Crossing Guard,"After his daughter died in a hit and run, Freddy Gale has waited six years for John Booth, the man responsible, to be released from prison. On the day of release, Gale visits Booth and announces that he will kill him in one week. Booth uses his time to try and make peace with himself and his entourage, and even finds romance. Gale, whose life is spiraling down because of his obsession towards Booth, will bring himself on the very edge of sanity. At he end of the week, both men will find themselves on a collision course with each other.",1995-11-15,6.043
79,"Juror, The (1996)",Drama|Thriller,,116731,9623.0,The Juror,"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown.",1996-02-02,5.53
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,,112445,46785.0,The White Balloon,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,1995-02-02,7.532
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,,114660,400.0,Things to Do in Denver When You're Dead,Five different criminals face imminent death after botching a job quite badly.,1995-12-01,6.485
82,Antonia's Line (Antonia) (1995),Comedy|Drama,,112379,880.0,Antonia's Line,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",1995-09-21,7.028
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,,114039,146599.0,Once Upon a Time... When We Were Colored,"This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.",1996-01-26,5.3
85,Angels and Insects (1995),Drama|Romance,,112365,8447.0,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",1995-09-10,6.5
86,White Squall (1996),Action|Adventure|Drama,,118158,10534.0,White Squall,"In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.",1996-02-02,6.291
87,Dunston Checks In (1996),Children|Comedy,,116151,17414.0,Dunston Checks In,"Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!",1996-01-12,5.404
88,Black Sheep (1996),Comedy,,115697,13997.0,Black Sheep,"When dignified Albert Donnelly runs for Governor, his team moves to keep his slow-witted and klutzy younger brother, Mike, out of the eye of the media. To baby-sit Mike, the campaign assigns sarcastic Steve, who gets the experience of a lifetime when he tries to take Mike out of town during the election.",1996-02-01,5.994
89,Nick of Time (1995),Action|Thriller,,113972,2086.0,Nick of Time,"An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.",1995-11-22,6.172
92,Mary Reilly (1996),Drama|Horror|Thriller,Jekyll and Hyde,117002,9095.0,Mary Reilly,"A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",1996-02-23,5.783
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,,114825,12158.0,Vampire in Brooklyn,"Detective Rita Veder is assigned to a baffling serial murder case. After examining the crime scene — a corpse-filled ship found adrift at sea — Rita meets Maximilian, a smooth-talking Caribbean playboy determined to romance her. When Rita begins suffering from crippling hallucinations, she calls upon Dr. Zeko, an occultist who suspects a vampire is on the loose.",1995-10-26,5.0
94,Beautiful Girls (1996),Comedy|Drama|Romance,,115639,9283.0,Beautiful Girls,"During a snowy winter in the small fictional town of Knight's Ridge, Massachusetts, a group of lifelong buddies hang out, drink and struggle to connect with the women who affect their decisions, dreams and desires.",1996-02-09,6.638
95,Broken Arrow (1996),Action|Adventure|Thriller,,115759,9208.0,Broken Arrow,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.",1996-02-09,6.026
