userId,itemIds,scores
10,"[688, 154, 107, 9, 596, 362, 438, 554, 556, 659, 139, 555, 303, 301, 341, 662, 557, 1170, 31, 458, 142, 173, 365, 278, 334, 5, 0, 49, 415, 314, 196, 352, 435, 46, 282, 1032, 247, 502, 150, 92, 694, 898, 329, 568, 353, 1181, 452, 218, 35, 274]","[1.072245478630066, 1.0512086153030396, 1.0374118089675903, 1.024724006652832, 1.0160223245620728, 1.0062479972839355, 1.003623604774475, 1.0034946203231812, 1.0016663074493408, 0.9903765916824341, 0.9778510928153992, 0.9748407006263733, 0.9712378978729248, 0.9711547493934631, 0.9613652229309082, 0.957949697971344, 0.9489894509315491, 0.9484062194824219, 0.9475270509719849, 0.9436855912208557, 0.9428355097770691, 0.9346615672111511, 0.9339748620986938, 0.9322094917297363, 0.931903064250946, 0.9314450621604919, 0.9314031004905701, 0.9291962385177612, 0.9263667464256287, 0.9213204979896545, 0.9192279577255249, 0.9145668745040894, 0.911922812461853, 0.9104152917861938, 0.9067786335945129, 0.9061641097068787, 0.9058783054351807, 0.9039742350578308, 0.8948615193367004, 0.8825294971466064, 0.8697766065597534, 0.8696268796920776, 0.8611950278282166, 0.8526264429092407, 0.84505695104599, 0.8392520546913147, 0.8383871912956238, 0.8360833525657654, 0.8356232643127441, 0.8351877331733704]"
11,"[2192, 38, 1129, 2067, 800, 2039, 1087, 2290, 2118, 1204, 3413, 553, 5447, 1338, 1780, 561, 1470, 559, 890, 793, 2302, 1068, 2201, 248, 1277, 734, 1903, 1760, 1019, 1513, 942, 33, 0, 139, 1104, 1611, 4426, 552, 1824, 2273, 211, 1400, 2130, 352, 2281, 341, 1517, 514, 1081, 6210]","[0.835928201675415, 0.79755038022995, 0.7599207758903503, 0.7501856684684753, 0.7364051342010498, 0.7339919209480286, 0.7328656911849976, 0.7267335653305054, 0.7221921682357788, 0.7201992869377136, 0.713065505027771, 0.7109538912773132, 0.708677351474762, 0.7026252746582031, 0.7006725668907166, 0.6960164904594421, 0.6916341781616211, 0.6904548406600952, 0.684807538986206, 0.6832975149154663, 0.683273196220398, 0.6805590391159058, 0.6782808303833008, 0.6781038641929626, 0.6764326095581055, 0.6588301062583923, 0.6575424075126648, 0.6545882225036621, 0.6545294523239136, 0.6541170477867126, 0.6519709825515747, 0.6506619453430176, 0.6486493349075317, 0.6419829726219177, 0.6409938931465149, 0.6390663385391235, 0.6385592818260193, 0.6375384330749512, 0.6373764872550964, 0.6371546387672424, 0.6334695219993591, 0.6307076811790466, 0.6287150979042053, 0.6277521252632141, 0.6261983513832092, 0.6255569458007812, 0.6223115921020508, 0.6209670305252075, 0.6197270154953003, 0.6180512309074402]"
12,"[3032, 3222, 341, 303, 557, 2191, 3184, 554, 2436, 1020, 3066, 502, 2526, 247, 3392, 458, 107, 1714, 1016, 3065, 1018, 2355, 282, 1470, 1344, 2240, 438, 49, 1092, 1032, 1043, 748, 1647, 46, 1036, 2311, 3373, 1022, 1019, 3148, 3014, 1062, 139, 1975, 2814, 3406, 279, 1308, 3417, 3304]","[0.8855654001235962, 0.8527121543884277, 0.8428136706352234, 0.8416875600814819, 0.8390624523162842, 0.8280326724052429, 0.8130886554718018, 0.7993589639663696, 0.7897205352783203, 0.789115846157074, 0.7877652645111084, 0.7818660736083984, 0.776947557926178, 0.7710687518119812, 0.7690776586532593, 0.7662485837936401, 0.7647433876991272, 0.7647095918655396, 0.7626261115074158, 0.7615139484405518, 0.7602101564407349, 0.7598472237586975, 0.7538768649101257, 0.7470657825469971, 0.7400432825088501, 0.7324661612510681, 0.7304757237434387, 0.7261058688163757, 0.7257209420204163, 0.7236765027046204, 0.719773530960083, 0.7156530022621155, 0.7143351435661316, 0.7015693187713623, 0.6990589499473572, 0.6968096494674683, 0.6935160756111145, 0.693115770816803, 0.6902256011962891, 0.683942973613739, 0.6789605617523193, 0.6773321032524109, 0.6767532229423523, 0.670853316783905, 0.6672562956809998, 0.6669872999191284, 0.6630740761756897, 0.6630238890647888, 0.6619235873222351, 0.6613094806671143]"
13,"[150, 555, 438, 557, 252, 282, 154, 139, 334, 556, 142, 107, 278, 324, 196, 365, 173, 435, 362, 301, 458, 240, 415, 329, 46, 303, 341, 274, 314, 285, 213, 9, 352, 218, 561, 514, 554, 553, 559, 477, 552, 20, 61, 38, 349, 551, 31, 0, 485, 502]","[0.9834483861923218, 0.9734379649162292, 0.9711579084396362, 0.9707204103469849, 0.9700818657875061, 0.9675064086914062, 0.9663083553314209, 0.9660933017730713, 0.9654372334480286, 0.9646024703979492, 0.9645546078681946, 0.9645368456840515, 0.9592612385749817, 0.9592334032058716, 0.958939790725708, 0.9583296179771423, 0.9582868814468384, 0.9537760615348816, 0.9512242078781128, 0.9510263204574585, 0.9504855275154114, 0.9494313597679138, 0.9482161402702332, 0.9469281435012817, 0.9466126561164856, 0.9460821747779846, 0.9460756182670593, 0.9445636868476868, 0.9420710206031799, 0.9397130012512207, 0.9393947720527649, 0.939109742641449, 0.9363594055175781, 0.9349362850189209, 0.9325835108757019, 0.932237446308136, 0.9319970607757568, 0.9306965470314026, 0.9233599305152893, 0.9227439761161804, 0.9222156405448914, 0.9205411672592163, 0.9162329435348511, 0.9153993725776672, 0.9129890203475952, 0.906823992729187, 0.9051929116249084, 0.9048929214477539, 0.9027315974235535, 0.9001448750495911]"
14,"[2191, 7043, 3032, 2898, 2696, 341, 1018, 4093, 8301, 554, 6726, 1036, 8493, 303, 5094, 4829, 1020, 557, 502, 2526, 4182, 5630, 282, 247, 8877, 2355, 7355, 7157, 1714, 8534, 349, 8536, 7511, 4184, 2233, 279, 49, 3184, 6390, 8701, 748, 4480, 107, 2436, 1032, 3577, 7315, 8232, 1459, 3635]","[1.0613610744476318, 1.057072639465332, 1.042887806892395, 1.0420283079147339, 1.0406454801559448, 1.0363943576812744, 1.0352554321289062, 1.0315845012664795, 1.0304204225540161, 1.0288662910461426, 1.0271403789520264, 1.0252721309661865, 1.025081753730774, 1.0230627059936523, 1.0220844745635986, 1.0186530351638794, 1.0181652307510376, 1.0163731575012207, 1.0160480737686157, 1.0153851509094238, 1.0127872228622437, 1.0110132694244385, 1.0026134252548218, 1.001745581626892, 1.000062346458435, 0.9988543391227722, 0.9980199933052063, 0.9968821406364441, 0.9947348237037659, 0.9921021461486816, 0.9884608387947083, 0.987576425075531, 0.9775072336196899, 0.9773638248443604, 0.9761576652526855, 0.9744391441345215, 0.9731817841529846, 0.9726749658584595, 0.9706990122795105, 0.9660393595695496, 0.9636701345443726, 0.963348388671875, 0.9631003141403198, 0.9614219665527344, 0.9608657956123352, 0.9608417749404907, 0.9579535722732544, 0.956326425075531, 0.9529997110366821, 0.9528361558914185]"
15,"[2436, 2526, 1020, 793, 1016, 502, 2191, 1043, 748, 1019, 943, 1035, 785, 5759, 670, 2355, 982, 1459, 1018, 49, 1714, 3577, 516, 282, 8493, 5630, 4165, 247, 1975, 1113, 4182, 1028, 3032, 303, 947, 4829, 1044, 1025, 1036, 898, 1029, 557, 1030, 1023, 7043, 1098, 3349, 1021, 1705, 1047]","[1.0899642705917358, 1.0725923776626587, 1.0658220052719116, 1.0496413707733154, 1.0434942245483398, 1.0424257516860962, 1.0395106077194214, 1.0289151668548584, 1.0273191928863525, 1.0112501382827759, 1.0106579065322876, 1.0104808807373047, 1.0061531066894531, 1.001362919807434, 0.9997252225875854, 0.9957086443901062, 0.9932463765144348, 0.992324948310852, 0.991456151008606, 0.9888361692428589, 0.9784111976623535, 0.9758895635604858, 0.9681646823883057, 0.9664860963821411, 0.9655840396881104, 0.9614216685295105, 0.9597434997558594, 0.9595316648483276, 0.9589313268661499, 0.9567988514900208, 0.9553079605102539, 0.9545847177505493, 0.9507113099098206, 0.9498144388198853, 0.9372541308403015, 0.9371999502182007, 0.9359087944030762, 0.9324883818626404, 0.9310248494148254, 0.9231578707695007, 0.9204332232475281, 0.9181523323059082, 0.9139890670776367, 0.9125065803527832, 0.9123964309692383, 0.9107295870780945, 0.9091383814811707, 0.906438946723938, 0.9037591814994812, 0.9029542803764343]"
16,"[502, 793, 748, 557, 982, 282, 568, 1035, 1016, 2436, 943, 303, 49, 46, 1020, 1459, 1043, 1018, 247, 785, 2526, 341, 2191, 1044, 1714, 1113, 108, 1029, 7043, 3349, 8493, 4878, 516, 1019, 898, 1028, 5630, 2355, 686, 3577, 107, 1023, 5759, 4829, 670, 1047, 1025, 4182, 1975, 1030]","[1.1111477613449097, 1.0846940279006958, 1.066440224647522, 1.0654979944229126, 1.0618658065795898, 1.0605744123458862, 1.0595427751541138, 1.059084415435791, 1.0538012981414795, 1.052148699760437, 1.049943208694458, 1.0494017601013184, 1.046822190284729, 1.0393381118774414, 1.0373204946517944, 1.0367697477340698, 1.0349235534667969, 1.024786114692688, 1.0237712860107422, 1.0236427783966064, 1.0221154689788818, 1.0198557376861572, 1.0131694078445435, 1.010066032409668, 1.009064793586731, 1.0071041584014893, 1.0056368112564087, 1.0053268671035767, 0.999579906463623, 0.9990002512931824, 0.9976711273193359, 0.9965287446975708, 0.9938411712646484, 0.9912561178207397, 0.9911026358604431, 0.9885764122009277, 0.9816054701805115, 0.9813668131828308, 0.9809046983718872, 0.9789789319038391, 0.977761447429657, 0.970040500164032, 0.9671396613121033, 0.9668960571289062, 0.9660003185272217, 0.96176677942276, 0.9571921825408936, 0.9534167051315308, 0.9523403644561768, 0.9507936239242554]"
17,"[8573, 15, 554, 534, 1971, 7360, 31, 9050, 349, 1185, 1080, 6754, 9567, 2412, 139, 9693, 2696, 2233, 1030, 888, 8328, 951, 5090, 0, 1068, 282, 5084, 7634, 651, 107, 4480, 9397, 1023, 1062, 1042, 438, 1043, 1028, 6390, 7472, 7455, 5625, 7303, 5177, 5407, 352, 7425, 6848, 715, 6271]","[1.1402015686035156, 1.1385178565979004, 1.1223320960998535, 1.0927375555038452, 1.0908985137939453, 1.0829476118087769, 1.0824137926101685, 1.077695608139038, 1.0775054693222046, 1.0747367143630981, 1.0733639001846313, 1.0725769996643066, 1.0713251829147339, 1.069128155708313, 1.0689927339553833, 1.0657848119735718, 1.0653020143508911, 1.0563498735427856, 1.0547715425491333, 1.0544755458831787, 1.0541980266571045, 1.054145336151123, 1.052842140197754, 1.051731824874878, 1.050078272819519, 1.0495086908340454, 1.0491259098052979, 1.048141598701477, 1.0480340719223022, 1.0464321374893188, 1.0460885763168335, 1.0458356142044067, 1.0457969903945923, 1.0453554391860962, 1.0427627563476562, 1.040608525276184, 1.040268898010254, 1.03798246383667, 1.0376533269882202, 1.0361593961715698, 1.0360901355743408, 1.0358763933181763, 1.0353176593780518, 1.0334596633911133, 1.0329500436782837, 1.0327284336090088, 1.032322645187378, 1.0279333591461182, 1.0279076099395752, 1.0278027057647705]"
18,"[2214, 23, 2188, 184, 1466, 2363, 930, 763, 2318, 101, 353, 680, 570, 0, 479, 147, 302, 2228, 2074, 2341, 1577, 553, 2091, 2105, 211, 1598, 1170, 1789, 518, 2552, 1147, 349, 282, 1699, 314, 558, 1199, 2153, 892, 1100, 1217, 64, 3014, 2996, 3056, 104, 552, 2878, 527, 2126]","[1.2266701459884644, 1.2262169122695923, 1.1507877111434937, 1.1387327909469604, 1.1241505146026611, 1.1226660013198853, 1.1152831315994263, 1.1118345260620117, 1.1065073013305664, 1.0990756750106812, 1.0935741662979126, 1.0892585515975952, 1.0890592336654663, 1.084519386291504, 1.0824135541915894, 1.0736942291259766, 1.0699063539505005, 1.0691537857055664, 1.0682098865509033, 1.0655019283294678, 1.065021276473999, 1.0638357400894165, 1.0603350400924683, 1.056063175201416, 1.0557353496551514, 1.0552787780761719, 1.0523587465286255, 1.0519587993621826, 1.0510642528533936, 1.0506436824798584, 1.0504980087280273, 1.0500303506851196, 1.0492087602615356, 1.0484590530395508, 1.0477672815322876, 1.0475674867630005, 1.0463323593139648, 1.0419623851776123, 1.0412945747375488, 1.0412606000900269, 1.0406403541564941, 1.0405865907669067, 1.040566086769104, 1.0395110845565796, 1.039122223854065, 1.0389412641525269, 1.038873553276062, 1.0388388633728027, 1.0383398532867432, 1.0381792783737183]"
19,"[3182, 3066, 1597, 3184, 3373, 3419, 3637, 2671, 47, 558, 3014, 1758, 1765, 1335, 1761, 897, 3304, 1767, 884, 3611, 3581, 3222, 891, 3635, 2594, 3895, 3630, 1760, 2552, 1104, 4749, 3639, 3294, 3417, 1999, 4099, 3065, 1737, 3187, 2960, 147, 877, 3348, 2958, 2521, 496, 1945, 2041, 249, 604]","[1.114166498184204, 1.065773844718933, 1.0603364706039429, 1.048589825630188, 1.045249581336975, 1.0360676050186157, 1.0336295366287231, 1.0330700874328613, 1.032965898513794, 1.0320743322372437, 1.031068205833435, 1.0308270454406738, 1.0302802324295044, 1.0266064405441284, 1.0225322246551514, 1.0113705396652222, 1.0067365169525146, 1.0050532817840576, 1.004517674446106, 1.0038739442825317, 1.0033197402954102, 0.9990794658660889, 0.9988000392913818, 0.9969097375869751, 0.9951931834220886, 0.9937551021575928, 0.9935150146484375, 0.9933229684829712, 0.9925059080123901, 0.9913795590400696, 0.991351842880249, 0.9854210615158081, 0.9846592545509338, 0.9844744205474854, 0.9816099405288696, 0.9810450077056885, 0.9763222336769104, 0.9759985208511353, 0.9738055467605591, 0.9736235737800598, 0.9733301997184753, 0.9724550247192383, 0.9691088795661926, 0.9686807990074158, 0.9660376310348511, 0.9652850031852722, 0.9638047814369202, 0.9638015031814575, 0.9635953307151794, 0.9603983759880066]"
