,itemIds
108,"[2571, 356, 260, 296, 593, 318, 480, 1210, 2858, 1270, 1, 1198, 1196, 1580, 1197, 2028, 858, 2959, 47, 608, 2762, 50, 2683, 780, 110, 527, 1923, 3578, 1968, 1265, 1240, 589, 2628, 1721, 2115, 1136, 1214, 1221, 1097, 648, 1036, 1291, 1213, 4306, 4226, 1704, 588, 4993, 1193, 1073, 1682, 2716, 1206, 541, 32, 1617, 924, 364, 293, 3793, 5952, 1089, 597, 7153, 223, 778, 1200, 2997, 1101, 2918, 2355, 4973, 377, 457, 2174, 1732, 6377, 1387, 1208, 2987, 1079, 367, 6539, 1610, 1527, 912, 1517, 1784, 919, 1653, 3114, 2706, 750, 2916, 500, 1222, 150, 104, 7361, 1258]"
109,"[296, 110, 590, 480, 380, 592, 457, 150, 593, 356, 318, 589, 377, 292, 165, 588, 153, 329, 597, 47, 344, 161, 316, 527, 32, 349, 10, 780, 648, 367, 736, 434, 50, 454, 539, 300, 364, 253, 587, 1, 34, 185, 141, 208, 595, 25, 95, 350, 21, 339, 6, 231, 500, 62, 440, 474, 553, 288, 266, 410, 260, 733, 357, 11, 39, 2571, 225, 435, 36, 368, 160, 1196, 509, 432, 7, 1073, 17, 236, 586, 282, 252, 442, 608, 1210, 315, 552, 2028, 163, 151, 158, 186, 168, 317, 223, 235, 508, 1198, 786, 497, 353]"
11,"[296, 110, 318, 356, 593, 480, 150, 457, 380, 590, 589, 527, 592, 47, 588, 780, 377, 165, 364, 344, 32, 50, 292, 1, 648, 10, 367, 597, 2571, 153, 316, 260, 329, 595, 208, 34, 736, 231, 161, 253, 434, 587, 500, 349, 1196, 454, 539, 185, 339, 2028, 288, 300, 1210, 410, 25, 733, 6, 1198, 95, 62, 2858, 141, 608, 586, 553, 39, 21, 357, 440, 1073, 266, 858, 350, 293, 1580, 2959, 474, 225, 160, 11, 442, 435, 3578, 19, 1197, 317, 509, 158, 2762, 223, 163, 368, 36, 1270, 508, 432, 7, 17, 1036, 786]"
110,"[356, 318, 2571, 296, 593, 260, 480, 527, 110, 47, 2959, 1, 2858, 1198, 1196, 50, 589, 2028, 1210, 858, 780, 2762, 1270, 364, 1580, 3578, 4993, 7153, 608, 588, 4306, 32, 150, 1197, 648, 5952, 457, 1721, 4226, 293, 1036, 2628, 1291, 1704, 377, 1193, 6377, 367, 1240, 1221, 1214, 597, 1265, 592, 3793, 2683, 1136, 4973, 6539, 1213, 1682, 500, 1089, 7361, 1073, 595, 344, 380, 590, 2329, 541, 2115, 231, 1200, 1923, 2716, 778, 1097, 58559, 223, 586, 165, 1206, 1968, 924, 4995, 736, 10, 1527, 3996, 6874, 104, 34, 1258, 587, 111, 5349, 4963, 8961, 1732]"
111,"[6539, 89745, 5952, 58559, 6874, 7153, 68954, 79132, 122904, 119145, 4993, 8961, 7438, 2959, 59315, 112852, 6377, 60069, 109487, 4886, 4896, 33794, 72998, 5989, 50872, 80463, 44191, 31685, 122882, 4306, 69122, 45722, 59784, 109374, 5218, 58998, 4226, 52973, 99114, 48780, 71535, 116797, 79091, 115617, 106782, 91500, 73017, 148626, 96079, 5481, 5816, 81591, 81845, 48394, 53125, 134130, 108932, 69844, 46578, 8368, 34162, 51662, 86833, 56367, 87869, 74458, 134853, 6373, 68157, 97921, 45447, 8641, 91529, 95167, 84152, 79702, 54001, 4995, 35836, 111759, 93510, 5418, 4973, 91542, 4963, 34048, 76251, 33493, 104211, 64969, 88163, 6936, 2571, 45720, 69757, 117529, 48516, 8533, 6942, 115149]"
112,"[318, 356, 296, 593, 110, 527, 480, 150, 589, 2571, 47, 457, 364, 50, 588, 260, 380, 780, 1, 592, 590, 32, 344, 165, 377, 1196, 367, 648, 2959, 595, 231, 10, 2028, 1198, 208, 2858, 597, 34, 292, 500, 1210, 316, 858, 153, 4993, 7153, 253, 736, 3578, 293, 608, 1580, 2762, 587, 329, 434, 339, 586, 185, 161, 454, 1270, 539, 5952, 288, 2329, 4306, 1036, 733, 410, 1197, 1193, 1073, 349, 1291, 19, 1704, 4226, 6377, 39, 1721, 2628, 62, 6, 25, 300, 1214, 7361, 317, 58559, 95, 223, 79132, 357, 1240, 442, 788, 1221, 3793, 553]"
113,"[1617, 1079, 480, 296, 1968, 1641, 6, 1101, 2115, 1923, 1197, 1610, 1097, 903, 260, 2683, 2396, 1278, 597, 1073, 2302, 608, 2529, 2599, 3363, 356, 648, 593, 1252, 1210, 223, 1127, 3471, 1304, 1, 919, 1387, 1954, 235, 780, 1234, 1240, 1230, 1358, 1270, 1580, 1090, 708, 908, 1307, 2174, 920, 551, 1674, 1214, 2797, 110, 590, 1183, 1500, 47, 1377, 5060, 1266, 1196, 1265, 377, 1288, 50, 2000, 3175, 2571, 32, 910, 2997, 924, 904, 2985, 2915, 923, 2100, 1584, 457, 3362, 2395, 1909, 589, 1198, 2628, 1233, 3176, 2858, 1374, 1394, 2640, 1220, 1393, 1302, 318, 2193]"
114,"[7153, 79132, 4993, 2959, 2571, 58559, 5952, 318, 6539, 6377, 356, 4306, 8961, 4226, 6874, 260, 3578, 68954, 60069, 5989, 593, 7361, 4995, 4973, 33794, 858, 1198, 2858, 527, 2762, 2329, 4886, 7438, 44191, 109487, 2028, 68157, 296, 48516, 91529, 1196, 59315, 1704, 4878, 4963, 1721, 1270, 99114, 89745, 4896, 47, 1, 74458, 116797, 5445, 1210, 5418, 3793, 48780, 3949, 8368, 48394, 50, 1580, 72998, 364, 1682, 3147, 54286, 110, 1291, 4022, 589, 293, 5618, 122904, 112852, 1036, 5349, 50872, 480, 1193, 33493, 5816, 63082, 134130, 1732, 80463, 69122, 81845, 91500, 8874, 70286, 1221, 49272, 780, 8636, 40815, 106782, 6365]"
115,"[356, 318, 296, 593, 480, 110, 2571, 527, 260, 47, 589, 1, 780, 50, 150, 457, 1196, 364, 588, 1198, 32, 1210, 2858, 2028, 648, 592, 2959, 377, 590, 380, 858, 367, 1580, 597, 608, 344, 1270, 3578, 2762, 1197, 165, 500, 595, 10, 293, 4993, 231, 736, 1073, 1036, 34, 2628, 7153, 587, 1240, 1291, 153, 586, 1193, 1214, 4306, 208, 1721, 316, 1704, 6, 1221, 5952, 223, 2683, 4226, 733, 1213, 1265, 3793, 2115, 1136, 1089, 329, 2329, 1200, 6377, 1682, 185, 1097, 539, 253, 541, 104, 1923, 7361, 2716, 551, 19, 292, 4973, 1101, 1527, 111, 1968]"
116,"[318, 356, 296, 593, 110, 480, 527, 2571, 47, 589, 260, 150, 1, 780, 50, 457, 364, 588, 32, 1196, 592, 380, 590, 377, 648, 2028, 1198, 2858, 1210, 367, 2959, 344, 597, 165, 858, 595, 10, 608, 1580, 500, 231, 3578, 2762, 1270, 34, 736, 293, 4993, 208, 1197, 153, 316, 7153, 587, 586, 1036, 1073, 1193, 2628, 4306, 1291, 292, 253, 329, 5952, 1721, 6, 1214, 733, 1240, 1704, 539, 185, 223, 4226, 1221, 2329, 1213, 339, 6377, 19, 3793, 1265, 288, 161, 39, 2683, 1089, 1136, 1200, 7361, 1682, 454, 2115, 357, 434, 104, 4973, 410, 551]"
117,"[296, 110, 590, 380, 480, 150, 592, 457, 593, 318, 356, 292, 589, 165, 377, 161, 588, 329, 344, 153, 316, 527, 349, 47, 10, 597, 32, 434, 780, 648, 454, 253, 367, 364, 300, 736, 539, 50, 34, 185, 208, 587, 339, 1, 350, 595, 95, 141, 25, 231, 21, 62, 288, 500, 410, 553, 266, 474, 440, 225, 6, 260, 733, 357, 39, 11, 2571, 160, 435, 36, 368, 509, 1196, 432, 236, 315, 282, 7, 586, 252, 17, 442, 1073, 186, 168, 151, 163, 608, 552, 2028, 1210, 317, 158, 786, 508, 1198, 19, 5, 376, 223]"
118,"[318, 356, 296, 593, 110, 480, 527, 2571, 589, 47, 150, 260, 50, 1, 364, 780, 457, 588, 592, 32, 380, 1196, 590, 2959, 377, 2028, 648, 344, 1198, 2858, 367, 1210, 165, 858, 597, 595, 231, 10, 3578, 4993, 500, 608, 1580, 2762, 7153, 34, 208, 293, 736, 153, 1270, 316, 587, 1197, 292, 586, 4306, 1036, 5952, 253, 1193, 1073, 1291, 329, 2329, 1721, 2628, 1704, 733, 4226, 185, 539, 1214, 339, 6377, 1240, 6, 288, 161, 1221, 223, 19, 454, 434, 7361, 3793, 1213, 39, 1089, 410, 4973, 1265, 1682, 1200, 58559, 349, 1136, 62, 6539, 104]"
119,"[79132, 7153, 58559, 4993, 5952, 6539, 2959, 68954, 6377, 109487, 60069, 8961, 6874, 4306, 89745, 2571, 33794, 116797, 5989, 91529, 59315, 122904, 4226, 99114, 7438, 112852, 44191, 4886, 68157, 72998, 74458, 4973, 4995, 4896, 48780, 80463, 69122, 48516, 134130, 7361, 106782, 81845, 50872, 48394, 91500, 3578, 8368, 109374, 4963, 5418, 4878, 69844, 70286, 318, 152081, 76093, 122886, 134853, 45722, 2762, 115617, 54286, 71535, 260, 5816, 96079, 356, 33493, 858, 47099, 119145, 59784, 40815, 122882, 54001, 1198, 5445, 63082, 5218, 2329, 49272, 2858, 56367, 111759, 112556, 46578, 3949, 78499, 5618, 84152, 1704, 51662, 8874, 73017, 1721, 6942, 91658, 35836, 1732, 53125]"
12,"[356, 2571, 318, 593, 296, 260, 480, 2959, 1, 527, 47, 1198, 2858, 110, 1196, 1210, 2028, 858, 50, 1270, 589, 780, 1580, 2762, 3578, 4993, 1197, 7153, 608, 364, 4306, 5952, 1721, 588, 4226, 32, 648, 2628, 1704, 293, 1036, 1291, 2683, 150, 1240, 457, 1265, 1221, 1193, 6377, 1214, 3793, 1136, 6539, 377, 1682, 1213, 4973, 367, 597, 1923, 2115, 7361, 1073, 1089, 1968, 2716, 1097, 500, 541, 592, 778, 1200, 1206, 2329, 595, 223, 1527, 344, 924, 590, 4995, 380, 58559, 586, 1732, 4963, 104, 6874, 231, 3996, 3114, 2706, 1258, 4886, 5349, 736, 8961, 2918, 165]"
120,"[296, 318, 356, 110, 593, 480, 150, 527, 589, 457, 47, 590, 592, 380, 780, 588, 2571, 50, 1, 364, 260, 377, 32, 344, 648, 165, 597, 367, 10, 1196, 153, 595, 316, 736, 231, 292, 34, 2028, 500, 208, 329, 1210, 587, 1198, 2858, 253, 608, 161, 539, 858, 185, 2959, 1580, 6, 733, 339, 454, 434, 349, 586, 1073, 293, 288, 3578, 1197, 2762, 62, 410, 25, 300, 1270, 39, 141, 95, 357, 553, 223, 1036, 440, 21, 4993, 1193, 19, 2628, 1291, 266, 442, 1214, 158, 11, 317, 7153, 1240, 474, 163, 435, 788, 350, 160, 551]"
121,"[110, 296, 150, 590, 380, 480, 318, 457, 592, 593, 356, 292, 589, 165, 527, 344, 588, 161, 377, 47, 316, 153, 329, 434, 349, 10, 32, 454, 253, 780, 597, 364, 367, 648, 300, 50, 208, 539, 339, 34, 736, 595, 185, 231, 1, 350, 587, 25, 225, 95, 288, 410, 141, 500, 62, 266, 21, 553, 260, 440, 2571, 474, 6, 39, 733, 357, 160, 11, 1196, 435, 315, 509, 36, 368, 282, 432, 586, 442, 236, 252, 17, 7, 186, 2028, 168, 1073, 317, 163, 1210, 608, 786, 151, 1198, 508, 158, 19, 552, 293, 5, 376]"
122,"[7153, 2959, 4993, 2571, 5952, 6539, 58559, 79132, 6377, 4306, 6874, 4226, 8961, 318, 356, 5989, 3578, 260, 4973, 33794, 68954, 4886, 2762, 60069, 1198, 4995, 858, 2858, 7438, 7361, 44191, 1270, 4963, 2028, 1704, 4896, 1721, 4878, 5418, 593, 1196, 48516, 2329, 59315, 3793, 1210, 5445, 68157, 109487, 1682, 1580, 1732, 89745, 48780, 527, 3949, 48394, 3147, 4022, 296, 8368, 5816, 99114, 91529, 1, 1291, 72998, 33493, 5618, 5349, 1036, 1136, 47, 8874, 54286, 74458, 50872, 1265, 1221, 116797, 45722, 8636, 46578, 3948, 1197, 50, 6365, 2628, 8360, 112852, 80463, 293, 69122, 1193, 35836, 3114, 63082, 778, 5218, 122904]"
123,"[7153, 79132, 4993, 2959, 58559, 2571, 5952, 6539, 6377, 318, 4306, 356, 8961, 4226, 6874, 68954, 60069, 260, 5989, 3578, 33794, 4973, 4995, 7361, 858, 109487, 1198, 2858, 7438, 4886, 593, 2762, 44191, 68157, 2329, 91529, 527, 59315, 48516, 2028, 89745, 99114, 4878, 1704, 4963, 1196, 116797, 1721, 296, 74458, 1270, 4896, 48780, 5418, 5445, 72998, 3793, 48394, 1210, 1, 3949, 8368, 47, 1682, 112852, 1580, 122904, 54286, 3147, 50, 5618, 4022, 1291, 50872, 80463, 364, 134130, 69122, 81845, 63082, 5349, 1036, 33493, 1732, 293, 5816, 91500, 110, 70286, 8874, 106782, 1193, 589, 49272, 8636, 45722, 40815, 76093, 1221, 480]"
124,"[318, 356, 2571, 593, 296, 527, 110, 260, 480, 47, 2959, 589, 1, 50, 364, 1196, 780, 1198, 2858, 2028, 4993, 150, 7153, 858, 1210, 3578, 588, 457, 2762, 32, 5952, 1580, 1270, 4306, 648, 608, 377, 367, 293, 592, 4226, 6377, 344, 380, 1197, 1721, 595, 1036, 1704, 2329, 590, 1291, 231, 597, 500, 1193, 6539, 165, 58559, 2628, 7361, 4973, 3793, 10, 1221, 1214, 1240, 79132, 34, 1682, 208, 586, 4995, 1213, 1265, 736, 1073, 1136, 1089, 8961, 2683, 587, 6874, 1200, 3996, 153, 5989, 1527, 316, 541, 104, 223, 4963, 2716, 778, 5349, 4878, 2115, 5445, 19]"
125,"[6539, 79132, 58559, 7153, 5952, 68954, 89745, 109487, 6874, 4993, 122904, 60069, 2959, 6377, 119145, 112852, 59315, 72998, 7438, 8961, 4886, 80463, 4306, 122882, 108932, 5989, 33794, 109374, 44191, 116797, 99114, 69122, 4896, 4226, 48780, 31685, 50872, 115617, 81845, 91500, 106782, 134130, 91529, 5218, 68157, 48394, 81591, 148626, 45722, 59784, 96079, 74458, 134853, 2571, 4973, 69844, 79702, 111759, 58998, 46578, 79091, 71535, 4995, 69757, 152081, 56367, 53125, 84152, 5816, 95167, 77561, 88129, 8368, 73017, 5418, 35836, 48516, 102125, 76251, 51662, 70286, 87869, 122918, 1732, 4963, 115149, 6942, 5481, 86833, 97921, 45720, 64969, 122892, 34162, 54001, 93510, 6373, 88163, 86882, 91542]"
126,"[110, 296, 318, 150, 593, 356, 480, 380, 457, 590, 592, 589, 527, 292, 165, 47, 588, 344, 377, 364, 32, 316, 780, 434, 10, 153, 161, 50, 253, 329, 367, 208, 349, 454, 1, 597, 648, 231, 595, 34, 339, 2571, 736, 185, 539, 300, 260, 500, 288, 587, 410, 225, 25, 95, 350, 62, 1196, 266, 141, 553, 733, 21, 39, 440, 2028, 160, 586, 357, 6, 474, 1198, 1210, 315, 435, 509, 11, 442, 2858, 293, 608, 317, 36, 1073, 19, 282, 368, 432, 163, 858, 2959, 186, 786, 17, 7, 158, 168, 508, 252, 1580, 236]"
127,"[356, 2571, 318, 296, 593, 260, 480, 1, 110, 527, 47, 2858, 1198, 1210, 1196, 2959, 2028, 50, 780, 589, 858, 1270, 1580, 2762, 1197, 608, 3578, 364, 588, 648, 4993, 32, 4306, 1721, 7153, 2628, 457, 2683, 1240, 150, 1036, 1291, 1265, 5952, 4226, 293, 1221, 1704, 1214, 597, 377, 1193, 1136, 367, 1213, 1073, 1923, 2115, 3793, 1682, 1968, 592, 6377, 1097, 1089, 4973, 500, 541, 590, 223, 2716, 6539, 1206, 1200, 778, 924, 380, 595, 344, 7361, 1527, 586, 736, 2329, 104, 231, 1101, 6, 1617, 2174, 1732, 587, 165, 111, 2997, 1258, 3996, 10, 2918, 912]"
128,"[356, 318, 296, 593, 2571, 480, 110, 260, 527, 47, 1, 589, 50, 780, 1196, 1198, 2858, 1210, 2028, 364, 2959, 588, 150, 457, 858, 32, 648, 1580, 608, 1270, 2762, 377, 3578, 592, 1197, 597, 590, 367, 380, 4993, 293, 344, 7153, 500, 2628, 1036, 1721, 595, 4306, 1291, 1073, 1240, 1193, 1214, 165, 231, 736, 1221, 10, 1704, 5952, 4226, 2683, 1265, 1213, 587, 223, 586, 1136, 34, 3793, 2115, 6, 1089, 1682, 6377, 1097, 153, 1200, 1923, 541, 208, 4973, 316, 1968, 2329, 733, 7361, 2716, 924, 1206, 104, 778, 6539, 111, 1101, 1527, 551, 1258, 3996]"
129,"[2571, 318, 356, 2959, 7153, 4993, 593, 260, 296, 5952, 527, 4306, 1198, 3578, 2858, 6377, 858, 47, 6539, 58559, 1196, 2028, 79132, 110, 1, 2762, 4226, 480, 50, 1210, 589, 364, 1270, 7361, 1580, 2329, 8961, 780, 4973, 1704, 1721, 6874, 4995, 5989, 3793, 293, 1036, 1291, 150, 588, 1197, 608, 33794, 1682, 4886, 4963, 1193, 4878, 2628, 32, 5445, 1221, 7438, 44191, 60069, 1136, 3147, 5418, 1265, 48516, 1240, 457, 5349, 4022, 3949, 1213, 1089, 68954, 648, 1214, 367, 1527, 3996, 2683, 4896, 2716, 1732, 377, 778, 595, 500, 1200, 231, 541, 344, 2706, 3114, 68157, 2324, 5618]"
13,"[318, 356, 2571, 593, 296, 260, 2959, 527, 480, 110, 47, 1, 2858, 1198, 1196, 589, 2028, 50, 4993, 7153, 858, 1210, 780, 3578, 364, 2762, 1270, 5952, 1580, 4306, 150, 588, 4226, 608, 32, 6377, 1197, 1721, 457, 293, 1704, 648, 6539, 1036, 1291, 2628, 1193, 4973, 367, 377, 3793, 7361, 2329, 58559, 1221, 1240, 1682, 1265, 1214, 592, 1136, 597, 1213, 344, 500, 595, 2683, 4995, 1089, 380, 79132, 231, 6874, 8961, 590, 1073, 5989, 1200, 165, 2716, 541, 586, 1527, 4963, 778, 3996, 2115, 10, 4886, 4878, 1923, 5349, 1206, 104, 3147, 34, 5445, 736, 223, 1097]"
130,"[110, 296, 318, 150, 593, 356, 480, 380, 457, 590, 592, 589, 527, 292, 165, 47, 588, 344, 377, 364, 316, 32, 434, 153, 161, 10, 780, 329, 253, 50, 367, 349, 454, 208, 597, 648, 1, 231, 595, 34, 339, 736, 185, 300, 539, 2571, 260, 288, 500, 587, 410, 225, 25, 95, 350, 62, 266, 141, 1196, 553, 21, 733, 39, 440, 160, 357, 6, 2028, 474, 586, 315, 435, 11, 509, 1210, 1198, 442, 36, 608, 2858, 293, 317, 282, 368, 432, 1073, 19, 163, 17, 186, 786, 7, 858, 252, 168, 236, 2959, 158, 508, 5]"
131,"[318, 2571, 356, 593, 296, 2959, 260, 527, 7153, 4993, 110, 47, 480, 2858, 1198, 1, 1196, 5952, 2028, 858, 589, 3578, 50, 364, 4306, 2762, 1210, 780, 6377, 4226, 1270, 58559, 6539, 1580, 150, 79132, 588, 2329, 1721, 1704, 293, 7361, 32, 4973, 608, 1036, 457, 1291, 1197, 8961, 4995, 3793, 1193, 648, 6874, 2628, 367, 1682, 5989, 1221, 377, 595, 344, 1240, 1214, 1265, 1136, 231, 500, 1213, 592, 1089, 4886, 4963, 4878, 5445, 33794, 380, 3147, 5349, 597, 3996, 2683, 165, 1527, 3949, 7438, 1200, 2716, 778, 586, 541, 5418, 590, 4022, 44191, 48516, 10, 1073, 60069]"
132,"[2571, 356, 318, 260, 593, 2959, 296, 2858, 1198, 4993, 527, 7153, 1196, 858, 47, 1, 480, 2028, 3578, 1210, 1270, 2762, 110, 4306, 5952, 50, 1580, 589, 4226, 780, 6377, 6539, 364, 1721, 1197, 608, 1704, 1036, 4973, 2628, 1291, 293, 3793, 7361, 1265, 1240, 1682, 1221, 588, 1136, 58559, 1193, 2683, 32, 6874, 2329, 1214, 4995, 648, 1213, 150, 8961, 4963, 5989, 1089, 2716, 457, 2115, 4886, 1923, 541, 1527, 778, 367, 1732, 4878, 377, 1200, 3147, 79132, 5445, 5349, 1206, 1968, 4022, 5418, 3996, 1097, 500, 33794, 597, 924, 2706, 1073, 7438, 3114, 3949, 595, 104, 586]"
133,"[296, 318, 110, 356, 593, 150, 480, 457, 380, 527, 589, 590, 592, 47, 588, 165, 364, 344, 292, 377, 780, 32, 50, 10, 1, 2571, 316, 367, 153, 648, 597, 208, 595, 253, 434, 231, 260, 161, 329, 34, 736, 454, 349, 500, 339, 185, 539, 587, 1196, 288, 300, 410, 2028, 25, 95, 62, 1198, 225, 733, 1210, 2858, 141, 586, 266, 350, 39, 553, 6, 608, 21, 293, 2959, 858, 357, 440, 160, 1073, 442, 1580, 474, 19, 317, 435, 3578, 11, 509, 163, 2762, 158, 368, 315, 36, 508, 1197, 786, 4993, 432, 282, 223, 17]"
