,userId,itemId,rating
12749,1542310,1044,5
12751,667426,3046,5
12752,1446994,2457,5
12761,1191177,4306,4
12864,1353794,3538,5
13161,1988412,4366,4
13245,2534525,3282,4
13254,1067204,1075,3
13266,1192441,4227,4
13444,1471326,607,3
13593,1622097,3825,4
13660,1271294,4306,4
13666,858454,3925,4
13772,2187566,3106,4
13933,2432256,3496,2
14044,242673,2577,5
14155,328155,1865,5
14158,1068746,607,3
14205,2240332,3962,5
14207,2016046,2040,4
14217,2082777,295,4
14219,942742,2144,4
14258,207781,2599,4
14347,1756051,483,4
14365,302135,896,4
14553,743921,1843,4
14661,963313,197,4
14858,578731,3265,3
15030,1197904,1905,3
15104,2364911,1174,4
15303,292993,607,4
15429,1409999,30,2
15442,2265465,3510,5
15493,1254324,2452,5
15590,1319527,1595,5
15651,1037036,3544,4
15773,2472254,2443,3
15788,1298124,3147,3
15817,1865009,3756,3
15822,885170,2012,4
15837,1679036,3925,3
15849,1044980,1659,4
15983,922171,818,3
16052,1046692,18,3
16136,1804201,175,5
16141,924396,571,5
16156,2177778,4266,2
16161,70798,4369,2
16213,2307853,2578,3
16338,1594348,406,4
16359,2278995,2266,3
16475,1081092,3282,2
16491,2463123,3938,4
16536,1513433,2181,4
16813,1011307,2152,2
16820,1086587,1542,4
16890,1351852,483,4
17032,2464664,3254,3
17060,942808,2594,4
17116,331351,2482,4
17180,2241844,3605,4
17280,462996,3925,5
17323,155095,3875,4
17533,528153,4043,4
17545,1534564,1066,1
17566,1318591,3938,4
17808,1632963,1703,4
17885,1415363,1145,3
17957,377130,3433,4
17991,643860,30,4
18138,2298735,3917,5
18436,1908893,2153,4
18459,810224,2128,2
18526,2541388,4123,4
18696,873465,1144,4
18721,2298359,269,4
18874,505141,2342,5
19055,746262,2922,4
19099,1470248,175,5
19104,1709021,3522,5
19137,2446404,2528,4
19212,771490,985,1
19342,2593995,2016,4
19455,1721734,2874,4
19468,667514,2660,5
19587,838542,3385,3
19606,1526926,457,4
19614,1664933,1542,5
19632,978293,273,4
19735,1344779,3106,5
19737,1075615,2137,3
19891,1632103,1962,3
19970,372331,4354,2
20002,2106486,2016,5
20006,491544,571,4
20060,953322,3282,4
20174,1812918,175,4
20304,763602,607,3
20376,2322104,3290,5
20463,1576224,2152,3
20502,1093385,1719,2
20511,803556,3371,4
20530,2038570,3623,5
20577,1609460,1406,3
20662,2191708,483,4
20725,898099,3938,4
20918,383615,788,4
20985,1503790,4056,4
21040,2256570,1470,4
21067,1461193,4432,4
21125,2091485,3151,4
21187,844839,3427,4
21208,2290238,4341,3
21450,1284323,3875,5
21472,1321450,3962,5
21606,2389025,2395,2
21734,801001,3962,4
21764,1127468,3538,4
21769,564686,2913,2
21827,1499729,886,3
22108,1409999,1300,2
22176,1490592,689,3
22181,1289453,2612,5
22203,109023,83,3
22331,370508,689,5
22335,843454,643,4
22397,1645957,1905,5
22493,968738,1408,2
22509,2258032,3427,4
22531,1492730,3320,4
22537,1487691,3605,5
22570,1259449,2580,4
22747,2171745,1466,5
22764,638035,111,4
22842,280012,3321,4
22985,1643029,696,3
23011,638363,2342,4
23070,1268619,808,3
23124,2200113,2016,4
23204,636506,345,5
23287,1325772,4356,4
23340,822304,3174,5
23352,517384,2809,2
23353,1163418,3650,4
23607,2271229,1877,5
23720,1939065,1918,4
23768,2216675,482,3
23962,1223744,2200,4
23966,573283,1659,1
24031,750816,788,2
24032,890241,2660,5
24079,1201634,3730,5
24173,2221057,985,5
24287,2225912,994,2
24387,647519,4393,3
24406,1270723,758,4
24422,1270723,1754,5
24429,974584,2580,3
24437,650216,3962,4
24458,2167403,1073,4
24737,2394671,1046,4
24841,492671,3684,5
24902,510959,3624,3
24997,2470666,3917,5
25046,1622272,3966,4
25167,367223,4266,5
25322,580809,1066,4
25622,1832429,1819,3
25641,2141101,197,1
25661,2514700,2782,4
25946,1488786,436,4
26326,818064,1092,4
26364,2171313,1905,5
26377,1528278,3427,4
26379,1306617,1220,4
26411,1791394,1307,4
26546,2276050,3151,4
26656,938693,313,4
26676,1862969,2800,5
26696,442896,730,5
26705,768366,1220,4
26706,880579,2862,5
26754,1224461,3418,3
26807,931407,3282,3
26823,1044980,1145,4
26950,2612957,4123,4
27031,2474273,3730,3
27037,1379764,3320,5
27043,110567,1798,3
27156,1061675,2200,1
27277,1350460,3860,5
27351,2223167,3814,3
27491,567687,1962,3
27531,2450697,2372,3
27549,1047445,1307,4
27631,1578263,3456,5
27677,2637997,1110,3
27678,2383799,900,3
27757,1279222,2862,5
27789,889642,2782,4
27793,1550132,4216,3
27864,1948401,798,3
27871,2386518,3925,3
27873,1281204,2376,2
28176,2376730,2465,3
28192,2251285,313,5
28251,2204941,4432,3
28267,582486,1837,1
28323,890365,3106,2
28345,1647876,4345,2
28375,1351544,1719,5
28458,1590948,2800,3
28515,923788,1180,3
28597,1512936,607,3
28608,2265465,3787,1
28800,943129,2391,2
28954,2165072,4216,3
29167,2177637,3106,3
29279,1629219,2340,4
29353,2520304,1110,4
29387,413922,2577,4
29596,1811320,3427,2
29606,1911915,3290,4
29903,2006805,1428,4
30078,107891,4472,3
30099,569889,1202,4
30366,949365,3860,4
30461,584158,4043,3
30564,425995,4155,5
30917,208418,1905,5
31132,2003511,4432,4
31263,1536320,3624,4
31345,1169024,3538,3
31388,1536015,4109,5
31447,2547798,886,3
31497,801078,275,4
31525,2068896,3962,3
31540,1032721,3605,5
31653,1673825,2152,3
31728,573245,3106,2
31742,429379,2200,4
31807,682894,3970,4
31870,129364,2114,4
31923,923059,3668,3
31967,1768901,3923,3
31995,514520,2362,4
32080,1877935,2045,4
32109,498294,4306,5
32217,1585214,1470,2
32435,951522,313,4
32531,329112,3756,3
32642,279787,2460,2
32682,1083890,4266,1
32708,37433,3085,2
32716,2200489,311,3
32803,938983,367,4
32845,2093947,3886,4
33008,2167403,1542,5
33030,1280569,2874,2
33138,871801,2762,2
33195,1275931,725,4
33350,1656759,1255,3
33355,442033,2660,4
33400,2285641,1470,5
33560,1966800,1843,4
33666,1576023,2743,5
33695,584780,422,4
33786,1254787,3538,3
33792,195752,4384,3
34004,1558355,2122,4
34040,1225571,353,4
34066,792199,2200,3
34299,1837315,3962,3
34301,1609709,3917,2
34304,2483005,4216,5
34408,1179435,4210,4
34464,371343,457,1
34571,1079716,3638,3
34628,1291774,2171,3
34634,1712791,1865,2
34717,534090,1843,4
34735,1312688,2178,4
34869,718709,1962,5
34877,1759822,2782,5
34882,1971829,4080,2
34918,1445218,1144,2
35057,1049004,3148,5
35073,688856,2176,5
35152,204382,1502,4
35268,955538,3161,5
35325,1096524,961,4
35445,1644013,2660,5
35461,1498230,3917,3
35583,945561,3920,1
35598,2194553,1110,1
35742,1561219,3917,5
35940,416483,4472,3
35944,208377,2379,4
36040,1295574,1877,2
36251,534090,199,5
36273,2417643,3582,1
36398,1476306,1144,3
36409,1431710,2580,4
36439,269062,1974,5
36513,2241844,357,3
36582,1992927,4159,1
36646,1295574,2735,5
36688,1776150,3427,4
36736,1030797,2112,4
36804,801745,3617,3
37121,2555461,1744,3
37136,1684053,2734,4
37142,1974827,692,3
37194,192124,1138,4
37262,2464664,3860,4
37465,1457551,2992,4
37491,799103,357,4
37510,1880468,3962,4
37604,2382606,3320,3
37721,631048,1202,5
37730,915182,3256,3
37733,2010432,2186,3
37861,1586002,2342,5
37892,2632150,1509,3
37926,1148687,4472,3
37946,437505,4356,4
37978,910318,3265,3
37993,2219540,4248,3
38097,1310838,3541,4
38186,1317106,3962,5
38851,6369,3925,2
38865,2054183,3489,3
38931,490256,1324,4
39059,1587095,4262,5
39099,740844,554,5
39191,2491032,3925,3
39238,2362939,1467,3
39367,389811,4214,4
39591,1261892,1798,5
39738,1743012,4330,3
39769,1035963,1123,3
39775,369120,2874,2
39913,1047445,1011,2
40158,1239429,1974,4
40182,2060807,1144,5
40192,1160662,3962,5
40302,1966678,295,5
40371,2404850,2967,3
40377,95393,4341,1
40417,680905,3730,4
40424,2485722,851,3
40473,1154496,3113,5
40627,1409467,2862,4
40708,681374,3624,4
40744,738770,4488,4
40832,2438712,3256,4
40860,2554944,3648,5
40864,1300795,299,4
40869,1451246,4330,5
40927,2299477,1509,3
40944,1442927,4141,3
41018,549494,241,5
41115,613163,3926,2
41191,819624,3962,5
41209,281036,1625,5
41270,2413316,1905,3
41312,1699196,1220,4
41325,1248997,3610,4
41333,2373409,1174,4
41371,877127,4356,2
41587,2463723,456,4
41672,743554,2862,4
41851,1049096,2916,4
41903,2276209,862,5
41985,1367096,1905,4
42063,2500596,1798,4
42093,1973150,1665,5
42151,1305914,2128,3
42213,982324,1974,4
42357,658202,2152,3
42434,1294846,3864,4
42609,2286810,3469,5
42731,1423541,501,4
42870,2331889,2617,4
42969,1439226,3610,4
43091,2003771,457,5
43165,1501397,1561,2
43185,1449857,1220,5
43306,580958,3962,3
43316,946158,2095,4
43424,998607,3713,3
43452,2193153,1974,4
43455,2620000,1145,3
43463,421440,3333,4
43518,598009,312,4
43561,1283829,457,4
43634,150738,2862,4
43703,273419,2254,4
43704,2073821,1255,4
43739,1494933,2809,3
43763,2273632,1110,4
43770,400097,4284,5
43787,1218316,2217,3
43870,861127,2495,3
43890,1132410,4306,5
44102,819624,3282,4
44265,770004,2095,5
44279,912621,2578,4
44307,613163,2372,3
44319,1561770,571,4
44392,1658109,2890,5
44511,1786788,2862,5
44603,1631253,3817,5
44722,925978,1810,2
44806,1323684,84,4
44809,1197296,3782,2
44839,939804,3624,4
44841,121060,1905,5
44846,1089793,457,4
44892,2463242,840,1
45000,1265077,2751,3
45068,1095849,3962,4
45081,1670306,1110,5
45130,2044088,4306,5
45137,1965495,4100,3
45197,564355,886,5
45204,1793173,3864,3
45227,1794667,28,4
45228,1154496,1428,4
45230,1031246,2866,3
45267,1278630,4356,4
45523,963119,2992,4
45658,2276376,1289,5
45708,1162074,329,2
45743,643842,708,3
45798,2086071,2452,5
45823,2620981,3197,4
45999,475676,1854,3
46158,617988,2465,3
46377,2286468,3368,3
46383,1584836,2174,4
46411,798865,1798,5
46451,2417848,28,5
46487,2130315,3269,4
46510,1298943,1509,3
46516,528506,3035,3
46525,2561608,4256,4
46619,2435164,3962,4
46676,901276,1103,3
46785,1321090,1102,5
46834,1234646,1754,4
47010,1875009,473,5
47208,2458294,1220,2
47322,392442,255,3
47356,2359448,798,4
47365,1907228,2577,5
47476,631048,1754,2
47647,1627678,4227,4
47748,2488818,1890,5
47815,1611707,4364,2
47834,1879411,3798,4
48120,1728104,3966,4
48284,2545927,3928,5
48448,2104654,1865,3
48452,1904758,3290,4
48476,2565053,2122,5
48640,1325181,1394,5
48651,1556698,1441,5
48679,381855,52,3
48746,865640,1129,5
48914,1549715,30,4
48973,1576224,1571,3
49270,222123,1642,4
49439,1028414,30,3
49455,1312760,3936,1
49654,574532,2699,4
49657,774359,4155,4
49731,1282664,1250,4
49755,2359219,3565,5
49777,2384905,199,4
49812,2547874,2913,5
49866,1492391,646,5
49930,2215936,2452,5
50141,914327,3433,5
50142,6161,1470,4
50151,2128253,3274,5
50187,909514,1509,4
50232,1429069,2186,2
50259,975867,4432,5
50321,332002,77,1
50329,2284249,788,2
50407,762324,1884,1
50486,2580343,330,3
50500,998607,3825,3
50556,1281243,3638,2
50586,1376300,3161,2
50607,1837248,1770,5
50793,1285360,3368,4
50820,741357,3962,3
51222,912170,1865,2
51486,176918,3713,5
51526,1664345,3290,4
51671,1152553,252,3
52024,2416335,468,5
52121,654036,4149,3
52151,2566842,111,3
52237,419175,312,5
52599,1372028,2519,4
52795,2465520,1428,4
52932,2590801,4472,5
53018,1430854,3864,3
53209,1213963,283,2
53307,2542215,1428,3
53358,1669887,1861,5
53395,353467,331,3
53636,2647047,1532,5
53654,512041,175,3
53661,2291341,1324,4
53748,2171303,1307,3
53777,777583,3728,4
53800,1467126,3713,3
53915,607879,1144,4
53955,1496560,1324,4
54020,2445872,3282,4
54074,2577262,1719,4
54091,2337449,1719,3
54184,216000,83,4
54190,2397327,607,4
54212,2143526,4266,5
54293,232257,2045,4
54315,1532275,1144,5
54400,843707,483,4
54406,309529,571,4
54442,1023086,3638,3
54606,1041928,919,4
54633,1387120,2874,1
54634,795975,3368,4
54812,1607702,2452,3
54910,1714699,1202,2
54992,1081252,4345,4
55164,1660605,1145,5
55303,789803,2139,2
55320,750816,3275,3
55325,597540,3925,5
55437,2054183,68,3
55574,128268,1865,3
55678,1640664,2342,4
55772,2173877,2199,4
55774,1316274,3860,4
55781,1664016,2960,3
55790,81437,2782,5
55826,2411060,886,5
56192,211109,1236,5
56293,1355598,425,3
56340,327579,1144,3
56552,2219540,3870,4
56647,1324252,3605,4
56744,2493338,2912,4
56797,2461740,1046,3
56806,722523,1305,3
56839,204077,2135,4
56858,34872,2200,3
56882,2119684,3153,4
56898,2578664,2037,5
56970,930232,3917,5
57172,1097742,3355,4
57289,1072195,3610,4
57404,1786739,3626,2
57405,666290,1700,2
57542,796629,2452,5
57558,1754013,1094,4
57597,1836706,3385,4
57621,1231504,3684,4
57694,1056249,708,3
57852,1393438,1865,2
57938,583726,1495,4
58025,2268839,1744,5
58086,1590880,4031,2
58096,1030812,3715,3
58120,2415989,4247,5
58505,1069180,2578,3
58663,959819,331,1
58779,1478799,3418,3
58828,1931678,1073,3
58861,2350735,2163,4
58910,1260385,329,4
58936,552108,175,5
59072,2378976,708,3
59127,2119152,3106,3
59286,2093107,571,5
59292,1501397,3638,4
59316,1047019,2913,5
59419,1248997,1975,3
59433,1566467,3670,5
59440,580243,331,5
59585,454063,1307,3
59620,872496,4123,5
59798,1014828,2660,3
59801,1030800,3434,1
60041,2386557,3505,3
60058,1317760,1744,4
60143,944731,2391,4
60191,2280406,4306,4
60298,2447884,3151,4
60379,1435710,311,2
60487,1442803,720,4
60504,1282488,1650,3
60553,613163,2391,3
60645,594525,2372,3
60728,2405791,3521,1
60756,982324,3758,3
60760,2088543,1754,3
60802,1267600,2332,4
60970,43429,3984,1
60987,2016046,486,4
61281,763155,989,4
61407,747986,2905,4
61666,1577238,2391,4
61889,757658,3529,4
61892,1102112,3962,5
61922,1768579,658,3
61936,1569341,2889,1
61985,763155,3962,2
62039,1021114,1479,2
62309,2621360,1116,1
62352,1078787,3197,3
62403,489295,1110,5
62467,62880,3320,5
62469,585857,3917,4
62488,2272539,2953,4
62707,1134615,2660,3
62815,2634807,2874,1
62854,587216,3138,3
63145,2251285,2612,4
63273,1796787,28,3
63289,1129284,197,2
63613,564561,3893,3
63854,869392,2862,5
64154,643842,2578,4
64162,52076,661,2
64270,1300991,118,4
64471,625398,1435,3
64508,851410,1798,5
64532,1331623,658,5
64548,2380265,2751,4
64591,898344,1145,1
64638,802802,1530,4
64734,299178,3925,2
64914,2157359,2580,4
64990,1443575,4315,2
65017,582006,3756,3
65040,667514,2680,3
65095,609797,1467,4
65203,896514,2617,2
65671,201576,329,5
65829,2331292,457,1
65858,96794,4472,4
65947,2219540,1693,3
66161,1781126,1110,5
66201,2279798,2314,3
66261,2286922,4141,2
66376,1424700,3015,2
66485,1086236,1766,2
66596,2577883,2660,3
66625,1353794,3624,5
66690,47248,2391,4
66701,1550067,197,5
66704,757020,1324,4
66715,1350775,2200,3
66752,790542,3463,4
66775,735047,1180,5
66796,1899884,1145,3
66797,2153718,4369,5
66908,1301592,1962,5
67005,345568,3106,4
67023,2416525,191,5
67059,1448712,3917,3
67196,1625671,748,4
67241,2022519,1428,3
67489,648304,1707,5
67515,1233946,1974,4
67630,895687,2095,4
67719,2177637,1707,3
67786,813840,2780,4
67845,772056,175,5
67850,893778,2921,2
67923,216839,2992,4
68108,1506768,3151,5
68143,793586,985,3
68182,1595839,1975,5
68288,247628,4302,3
68314,771844,4123,4
68364,2551427,4432,4
68521,974584,3256,2
68602,1267250,1094,4
68862,1638402,367,4
69065,1026017,1255,4
69072,1155612,1174,3
69224,1200016,4364,5
69250,1298943,2734,4
69259,2205459,406,5
69420,1631253,2372,4
69477,2216675,3860,3
69486,942337,528,2
69508,898615,2112,5
69578,2115824,483,3
69634,1942750,2200,3
69648,2374636,494,3
69812,1377222,3085,4
69856,1404734,4100,5
69976,1512957,1861,4
70021,774281,607,3
70067,392442,1479,4
70113,1354685,1102,4
70132,925249,4306,5
70182,1403031,2499,4
70192,734698,528,1
70201,2434439,607,3
70384,1419837,607,4
70436,2485803,761,1
70617,975224,4043,3
70643,1843739,1307,4
70728,591579,1470,3
70767,483088,1110,5
70814,797788,3282,1
70925,316978,3418,3
70989,52434,2372,2
71050,593167,3579,2
71079,1199953,2112,4
71415,1209170,3756,4
71439,2445367,4472,5
71561,4330,1561,4
71568,2110090,2953,5
71621,1026909,2456,4
71639,110596,4302,5
71671,1772328,2800,3
71683,2108177,2889,4
71687,941221,4472,2
71734,1310838,166,4
71824,1483139,4227,2
71880,1096999,353,2
71907,614125,3282,4
71922,1551015,468,2
72018,674829,3437,5
72078,2335028,708,4
72185,1102112,2178,1
72252,1595837,3617,3
72273,205076,2448,4
72646,1961716,3333,2
72817,1106301,563,3
72818,2576613,241,4
72886,1321090,720,4
72919,2224884,2391,2
72963,1743240,4227,4
73011,956977,3611,4
73104,1885285,1905,3
73129,1815739,2462,4
73170,1831673,1202,4
73176,415645,3282,2
73323,2284065,2780,4
73766,690024,2913,3
73774,689877,3938,5
73998,2329009,1305,5
74012,1247651,2122,5
74203,1837364,2186,4
74239,1163418,4432,3
74263,2348236,3106,4
74476,217218,3315,5
74487,650702,3446,3
74557,1205123,2152,4
74579,2446404,4392,1
74602,1153493,3427,4
74625,1875009,4043,4
74666,796084,1466,4
74680,1321924,2015,5
74730,86712,2430,3
74764,2466655,1905,5
74811,2018166,1406,4
74881,992267,4123,3
74964,2285614,4330,5
74987,1426230,2944,4
75121,1489043,4393,5
75143,663405,4306,4
75215,1341186,175,3
75295,1012559,1406,5
75315,26712,2769,3
75319,1510195,1145,5
75422,2338274,1707,5
75433,1081252,3623,3
75480,2278159,2735,5
75607,2510836,2209,4
76141,650702,2675,1
76189,1453145,3151,5
76204,1949173,1877,5
76424,1270261,3730,5
76471,880148,720,4
76630,1480659,4330,5
76632,225880,3624,4
76672,1673281,571,4
76758,1298943,2452,5
76816,871927,3756,2
76969,1665232,457,4
77010,868741,2290,5
77030,1508661,692,3
77044,2518570,28,4
77258,2162746,758,5
77321,44961,2152,3
77328,1500577,290,5
77341,2643457,4432,2
77371,1832527,241,4
77449,2573311,1126,3
77524,1940461,4177,4
77574,464606,494,3
77583,2068749,1700,3
77625,39067,4493,3
77646,2101646,571,5
77682,757383,4393,2
77723,1855757,3624,5
77839,1183403,3935,4
77899,701793,1561,2
77902,1506909,963,4
77940,1306617,361,5
78150,1515266,329,4
78203,861127,3579,3
78225,882752,3254,2
78243,1511662,433,4
78336,726811,1561,3
78381,2574251,3371,4
78444,2605904,1421,5
78493,2223167,4227,3
78495,373838,2162,5
78547,974909,18,5
78645,2618861,1959,5
78709,804442,1470,4
78738,1355078,3095,4
78879,1013341,840,4
78908,1367096,1145,3
79100,1224054,4432,4
79113,1498080,4123,2
79214,676631,270,5
79289,2339235,3864,4
79306,7461,2452,5
79441,2339033,1590,1
79490,1075153,4056,4
79511,871377,3355,5
79595,533445,1962,4
79696,1563459,2362,4
79766,540648,2016,4
79774,1727234,4197,3
80081,541053,406,4
80121,2398911,3858,5
80425,2352383,1180,3
80623,1479792,3368,3
80637,94223,3880,5
80651,1083408,2862,5
80693,1750940,1604,3
80718,1190248,3368,4
80733,2266811,1983,3
80987,1342168,2578,3
81204,1846669,571,3
81329,2116042,571,5
81384,100879,3894,3
81431,1836587,2162,5
81444,1197904,1220,5
81476,2611831,4056,2
81486,780032,329,4
81568,1515266,3463,4
81622,1997157,798,4
81764,1184912,3701,4
81780,331021,3128,3
81839,2221144,2890,4
81843,928331,2464,5
81969,411007,2470,1
82043,1272587,2743,4
82081,2332857,1470,3
82088,2386208,1174,3
82099,489333,4485,5
82163,1239825,1754,4
82263,1788245,1860,5
82265,2335450,2779,3
82322,1510963,3368,3
82333,2204333,4159,4
82366,1214988,1703,4
82374,1159018,2660,3
82417,1031246,1854,3
82443,631233,1682,4
82468,501396,3321,4
82501,302850,660,5
82685,973292,788,3
82812,2588720,550,3
82986,681374,4330,3
83145,1298124,3489,4
83309,1517389,2757,2
83343,2360881,4141,3
83444,1087365,2577,2
83585,2408274,1148,3
83617,2203720,1865,3
83621,1056896,3079,4
83753,549652,3825,5
83892,2620885,468,4
83900,1604115,3148,4
84031,1030800,2578,3
84080,2450475,571,5
84275,2504259,2675,3
84310,1192338,2009,4
84365,448721,3124,1
84443,94223,3798,5
84470,1192912,4356,4
84536,128425,3254,4
84756,2420391,191,3
85024,594080,3086,2
85041,475676,2441,5
85219,1187140,334,5
85376,573920,2800,4
85457,1254764,191,4
85552,782117,4043,3
85615,56117,862,2
86174,2234116,2372,4
86198,76119,3013,4
86280,953718,3938,4
86410,2064790,4432,4
86444,1717025,708,4
86547,648914,2122,5
86613,1517901,3966,5
86681,2204398,1703,4
86824,2201264,2519,2
86829,2574654,1307,4
86921,1073903,3860,4
86940,2409369,4219,3
87035,1215706,963,4
87121,2316651,2457,5
87223,2160295,582,3
87261,1867401,3926,3
87569,1316067,1962,3
87605,609797,4056,4
87755,2578664,3102,3
87759,1664345,313,3
87771,1728104,3962,4
87864,2347318,4078,5
87901,840531,1853,3
88083,560801,3923,3
88123,1096032,2095,4
88226,1494933,1305,3
88367,1401125,1236,4
88431,749522,3925,5
88477,246311,3890,2
88524,1279603,3775,2
88546,2224904,2922,5
88785,932897,2122,5
88903,2445812,2112,4
89253,1345145,2953,3
89405,257315,1428,3
89411,2215551,1962,5
89440,2478388,2533,2
89658,372331,886,5
89670,584893,3427,3
89705,2463244,290,2
89786,1884747,2519,3
89804,1788756,361,3
89839,928331,2395,3
89866,2425846,3242,2
89932,1225382,3900,4
89952,1470057,996,4
89969,1543132,2043,5
90089,1615998,3917,4
90104,598009,3153,4
90116,2276050,3079,1
90179,1054289,3925,5
90207,2262800,4315,2
90213,2505414,1962,3
90322,946691,3887,5
90382,2373922,1428,4
90412,43429,4302,3
90450,2017198,3860,5
90485,2043581,3999,3
90525,2278512,4402,3
90614,1275931,275,4
90694,1144764,2660,4
90783,178399,2465,4
90833,203667,872,4
90864,1358357,1615,5
90982,1664655,3999,3
91103,1080466,4315,3
91134,445386,3058,4
91167,733504,607,4
91368,503746,1810,5
91963,1008720,3905,4
91989,193179,662,3
92094,552019,1058,5
92183,2577232,30,4
92191,189381,533,4
92359,1436470,3624,2
92408,1295143,199,4
92503,2380750,2372,5
92528,2258490,4432,4
92551,1083408,711,3
92615,718709,341,3
92661,895348,1202,4
92700,2278539,872,4
92878,1180751,270,5
92922,1570252,4043,4
93009,608023,3768,4
93190,1096722,4306,3
93239,901555,3085,5
93243,2628623,4315,3
93280,1695851,357,4
93316,424541,1145,4
93600,1408803,2612,5
93612,617075,3713,5
94004,319174,2452,5
94030,762355,607,3
94040,227426,2690,3
94082,1594766,299,2
94268,594525,2505,4
94355,256458,2350,3
94435,1630448,3870,4
94440,1679036,2467,3
94444,1432675,1700,5
94484,2285641,2660,5
94542,785997,571,4
94602,1989853,4171,3
94660,99469,2890,4
94748,2431675,4485,3
94907,1589063,4384,3
94937,1352892,1180,5
95112,861649,1144,4
95164,2358014,3860,4
95176,2240820,468,5
95231,1330648,631,2
95234,1023333,1466,3
95384,744735,3106,3
95512,1907228,3962,5
95547,408521,191,4
95574,1287405,3239,5
95581,1352295,1180,2
95616,2146862,483,1
95672,2165461,2310,3
95700,1122567,2659,3
95718,546549,2112,4
95874,2173602,692,2
95913,793311,3274,5
95918,475849,494,5
96016,26430,4080,2
96019,2444528,4387,4
96032,2222549,2705,3
96046,798865,1571,5
96053,930522,1295,3
96058,2201544,1865,4
96091,1861006,1289,5
96129,201946,798,5
96164,2372711,4123,3
96270,2121042,3418,5
96279,1719122,2342,5
96376,653855,3962,4
96381,2205740,3350,4
96418,1694860,1582,4
96436,191125,662,5
96514,1110074,2000,5
96535,1228450,4432,4
96631,1471326,692,4
96807,1193751,1110,4
96943,254801,4123,5
97207,1051107,1625,5
97296,1955745,152,5
97297,860758,711,4
97363,898036,3148,5
97408,155525,2152,3
